Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
MCS,Pricewaterhouse Coopers,15,15
MCS,ICT Publications,21,21
MCS,CNAM Laboratoire Cédric,15,8
MCS,Institute of Vocational Education,6,11
MCS,Ministry of Health Mozambique,12,12
MCS,Fortis,22,22
MCS,Norfolk State University,7,7
MCS,Taiwan Semiconductor Manufacturing Company,9,13
MCS,Texas University-Pan American,12,19
MCS,Coll. Bus. Admin.,20,24
MCS,Universidad de Santiago de Chile,6,11
MCS,University of Tasmania,8,16
MCS,Geschaftsfuhrer I.,19,20
MCS,NFP,0,0
MCS,Durland Consulting,19,19
MCS,Cairo University,21,21
MCS,Mannheim Business School,15,15
MCS,Bavarian Motor Works Group,14,14
MCS,Institute Hospital San Raffaele,6,6
MCS,"Richmond Group Fund Co., Ltd",13,7
MCS,Rotterdam Business School,14,14
MCS,Donau-Universitat Krems,15,15
MCS,Information Resources and Services Branch,14,14
MCS,Southern Arkansas University,6,6
MCS,German University in Cairo,14,14
MCS,Institut Straumann AG,8,8
MCS,Sezione AICA,13,27
MCS,Deloitte and Touche,9,9
MCS,Capella University,19,19
MCS,Bank of America Charlotte,14,14
MCS,University of La Verne,8,8
MCS,"Paragon Systems, Inc.",17,18
MCS,"Instituto de Investigación Tecnológica, ICAI, Universidad Pontificia Comillas",5,8
MCS,Okidata,0,0
MCS,Two A Day Group,0,0
MCS,"Energy Management Associates, Inc",17,11
MCS,University of Malaysia Sarawak,12,12
MCS,SAP University Alliance,8,15
MCS,Kenan Systems Corporation,14,14
MCS,"Dow Jones & Company, Inc.",14,25
MCS,Hertfordshire Hospitals NHS Trust,6,6
MCS,Telecom Ecole de Management,13,13
MCS,"Care Services Improvement Partnership, UK",9,14
MCS,Berry College,12,12
MCS,Rockefeller College of Public Affairs and Policy,8,4
MCS,Faculty of Management,8,8
MCS,Williams Power Company,16,16
MCS,Standard Bank of South Africa,6,12
MCS,York University,11,11
MCS,"Tractors and Farm Equipment, Ltd.",11,18
MCS,Mahindra Satyam Computers Services Ltd.,14,15
MCS,UNIVERSITAT LIECHTENSTEIN,14,14
MCS,Georgia Mason University,15,15
MCS,Calcutta Institute of Technology,11,11
MCS,Centre College Kentucky,8,8
MCS,GE Corporate Research and,14,14
MCS,Rockhurst University,17,17
MCS,MIT Center for Digital Business,18,6
MCS,Dynatrace Austria GmbH,16,8
MCS,Grenoble Ecole de Management,6,6
MCS,"University of Tokyo, Research Center for Advanced Science and Technology",5,5
MCS,Institute of Information Management,5,11
MCS,University of Toronto Faculty of Medicine,9,14
MCS,SAP (Schweiz) AG,11,12
MCS,Singapore University,9,9
MCS,University of International Business and Economics in China,10,10
MCS,Huainan Normal University,14,14
MCS,NZMP Ltd.,17,18
MCS,Brandeis University,9,9
MCS,Business Science Institute,14,7
MCS,University Hospital of North Norway,5,5
MCS,Raytheon,0,0
MCS,Mayo Clinic Hospital,26,17
MCS,Texas AandM International University,10,10
MCS,Technical University of Kosice,12,12
MCS,Loyola Marymount University,13,13
MCS,NMCI,57,57
MCS,Nolan Norton Institute,8,8
MCS,SL Power Electronics Corp.,14,14
MCS,PSB Paris School of Business,13,6
MCS,NYU Robert F. Wagner Graduate School of Public Service,7,7
MCS,Institute for the Future,7,7
MCS,"Simulex, Inc.",25,29
MCS,College of Information Science and Technology,8,8
MCS,University of Applied Sciences,12,12
MCS,TU Eindhofen,0,0
MCS,Institute for Trends Research,6,12
MCS,Instituto Superior de Economia e Gestão,10,10
MCS,Kaplan University,10,10
MCS,Nanjing University of Information Science and Technology,7,10
MCS,Imfinity Pte. Ltd,10,11
MCS,Novay,0,0
MCS,National Institute for Mathematical Sciences,13,13
MCS,Kwame Nkrumah University of Science and Technology,8,11
MCS,Loughboroughx University,7,7
MCS,National College of Ireland,7,7
MCS,IBM Australia Ltd,20,10
MCS,LOG,0,0
MCS,Universite Paris 12 Val de Marne,6,11
MCS,Buffalo State College,8,17
MCS,EC Harris LLP,25,25
MCS,AMI Health Care Ltd,18,18
MCS,National Information and Communications Technology,11,11
MCS,College of Business Administration,11,11
MCS,"Cagle and Co., LLC",10,11
MCS,GESIS - Leibniz Institute for the Social Sciences,8,8
MCS,Information Consultant and Chair,17,11
MCS,Logistics Provider,19,19
MCS,System Testing Excellence Program,11,11
MCS,University of Texas MD Anderson Cancer Center,8,8
MCS,National Library of Medicine,13,13
MCS,That department's chair,15,15
MCS,Tungnan University,10,10
MCS,Total Lubricants India Priv. Limited,10,16
MCS,University of Business and Law,6,6
MCS,Yuanta Financial Holdings,14,14
MCS,"SAP Labs, LLC",12,27
MCS,Smart GmbH,15,31
MCS,North York General Hospital,7,7
MCS,Results for Development Institute,11,11
MCS,Horváth and Partners Management Consultants,13,9
MCS,Production Engineering Department,6,11
MCS,Växjö universitet,10,11
MCS,Korea Institute of Procurement,6,6
MCS,International Burch University,12,12
MCS,NHS Wales,17,17
MCS,Rolls Royce Corporation,8,15
MCS,AKF Partners,13,13
MCS,University of Olso,10,10
MCS,Economics and Administration School at University of S~ao Paulo,9,9
MCS,Marketing in the Economics and Administration School at University of S~ao Paulo,7,7
MCS,Guangxi Normal University,14,14
MCS,Oklahoma State University Medical Center,9,14
MCS,"Population Health Research Institute, Ontario",8,4
MCS,Institute for Clinical Evaluative Sciences,9,9
MCS,"Varian Semiconductor Equipment Associates, Inc.",12,12
MCS,Escher Group,13,13
MCS,"Global Foundries, Inc.",8,9
MCS,Asian Institute of Technology Thailand,5,5
MCS,Cummins Inc.,27,29
MCS,Senacor Technologies AG,15,15
MCS,College of Charleston,17,17
MCS,University of Nevarra,8,8
MCS,Kunming Key Laboratory of Special Metallurgy,9,9
MCS,Yunnan Normal University,15,15
MCS,School of Management Information Systems,9,14
MCS,Arvato Services Healthcare Germany GmbH,10,14
MCS,Valdosta State College,8,16
MCS,ISACA,25,25
MCS,Data Consulting Services,15,15
MCS,Deloitte Consulting GmbH,15,15
MCS,Iwate Prefectural University,13,13
MCS,Xerox Research Center,8,17
MCS,School Management,10,20
MCS,XQS-Service GmbH,11,32
MCS,Duodecim Medical Publications Ltd,17,17
MCS,Apple Computer,12,12
MCS,Bain and Company Germany,7,7
MCS,United States Securities and Exchange Commission,8,12
MCS,University of South Dakota,7,7
MCS,Altran Technologies,18,18
MCS,Universidad de Extremadura,7,14
MCS,Laboratoire d'Analyse et d'Architecture des Systemes,7,7
MCS,Institut de Recherche en Informatique et Systèmes Aléatoires,6,10
MCS,Atilim University,20,20
MCS,Human Resources Development Canada,16,16
MCS,University of Economics in Katowice,16,16
MCS,Center for Advanced Biotechnology and Medicine,8,8
MCS,Universidad de Huelva,8,8
MCS,Institute for High Performance Business,14,10
MCS,Deloitte Touche Tohmatsu India Pvt Ltd.,10,10
MCS,Deloitte Consulting LLP,15,15
MCS,Deloitte and Touche LLP,8,8
MCS,The Nature Company,10,10
MCS,"Carrier Corporation, USA",15,15
MCS,Universidade da Beira Interior,6,6
MCS,Royal Canadian Mounted Police,12,12
MCS,Agilent Technologies,17,17
MCS,Cigna,25,25
MCS,Università degli Studi di Udine,6,6
MCS,Xian University of Arts and Science,5,11
MCS,Weinan Teachers University,14,14
MCS,Hampton University,19,19
MCS,Institute of Oceanology Chinese Academy of Sciences,11,11
MCS,Virtual Surveys Ltd.,9,9
MCS,"A. M. Prokhorov General Physics Institute, Russian Academy of Sciences",8,9
MCS,"Fuso Pharmaceutical Industries, Ltd.",15,11
MCS,DCA Design International Ltd,13,13
MCS,Center Latin American Studies,19,19
MCS,Antioch University,19,19
MCS,Gardner-Webb University,8,8
MCS,Universidad de Las Americas Puebla,16,16
MCS,Southeastern Oklahoma State University,10,10
MCS,Unilever,0,0
MCS,Calspan Corporation,18,18
MCS,Lebanese International University,6,6
MCS,"C2G Logistics, Inc",19,20
MCS,University of Lethbridge,7,7
MCS,Macquarie Group Limited,15,15
MCS,ST-Ericsson,29,29
MCS,Asian Culture Institute,15,15
MCS,"The University of Hong Kong, Zhejiang Institute of Research and Innovation",3,5
MCS,University of Missouri-St,14,14
MCS,"The Learning Chameleon, Inc",13,14
MCS,NAVAIR,0,0
MCS,Hamdam Bin Mohammed Smart University,10,10
MCS,University in Bloomington,7,14
MCS,"Stanley M. Slowik, Inc.",15,17
MCS,Open Humans Foundation,16,16
MCS,"Faculdade de Ciências e Tecnologia, New University of Lisbon",6,7
MCS,Foxconn International Holdings,12,12
MCS,Fortune Institute of International Business,4,4
MCS,ABB Group,0,0
MCS,Univ. of C. Florida,9,10
MCS,University of Science and Technology Liaoning,4,8
MCS,KIT Digital AG,0,0
MCS,Pixelpark AG,0,0
MCS,Vancl Research Laboratory,14,7
MCS,Changchun University of Science and Technology,8,8
MCS,Gulf University for Science and Technology Kuwait,4,8
MCS,University of Sfax,10,10
MCS,Laboratoire d'Analyse et Modélisation de Systèmes pour l'Aide à la Décision,8,5
MCS,"Université de Tunis El Manar, Ecole Nationale d'Ingénieurs de Tunis",9,6
MCS,Centric,20,20
MCS,KnowledgeBase Marketing,8,8
MCS,Yunnan Branch of China Development Bank,5,5
MCS,Metallurgy college of logistics Kunming normal college,11,11
MCS,Inst. für Wirtschaftsinformatik,12,12
MCS,School of Engineering University,11,11
MCS,"Rossmoore Associates, Inc",21,15
MCS,"Tyndall National Institute at National University of Ireland, Cork",3,6
MCS,Analog Devices Ireland,16,16
MCS,"Tektromx, Inc.",24,13
MCS,Renmin (People’s) University of China,10,11
MCS,Millsaps College,21,21
MCS,Flint Transfeld Services Ltd (FT-SERVICES,9,9
MCS,Oxford Institute of Retail Management,5,5
MCS,FOM University of Applied Sciences for Economics and Management in Munich,8,8
MCS,Computer Associates,27,18
MCS,Fairmont State University,14,14
MCS,Sichuan Normal University,14,21
MCS,School of Information,8,17
MCS,University Libraries,9,9
MCS,School of Education,9,18
MCS,School of Dentistry,18,9
MCS,University of Matanzas,16,16
MCS,ESC Rennes School of Business,12,12
MCS,Osaka Prefecture University,13,13
MCS,CaseWare IDEA Inc,20,20
MCS,Huaihai Institute of Technology,6,6
MCS,Turun Yliopistollinen Keskussairaala,5,5
MCS,Pfizer GmbH Germany,9,9
MCS,Centre for Computational Intelligence,10,10
MCS,Centre for Computing and Social Responsibility,12,8
MCS,St John's University,9,9
MCS,ESC Rennes School of Business,12,12
MCS,Australian Government,8,8
MCS,Hannam University,20,20
MCS,Const. Fuster,25,27
MCS,"Fuji Xerox Co., Ltd.",9,10
MCS,NC AandT State University,14,14
MCS,China National Institute for Standardization,9,9
MCS,eXcelon Corporation,9,9
MCS,"Indian Institute of Technology, Kanpur",5,5
MCS,Monitor United States,17,17
MCS,Icosystem Corproation,17,17
MCS,Blue Martini Software,17,17
MCS,Hybrid Vigor Institute,8,8
MCS,University Coll Agder,8,17
MCS,China University of Political Science and Law,8,8
MCS,International Hellenic University,11,11
MCS,Tulane University School of Public Health and Tropical Medicine,6,9
MCS,Zhengzhou Electric Power Company,6,11
MCS,Dundalk Institute of Technology,6,6
MCS,Polytechnion Kritis,18,9
MCS,Seer Technologies,20,20
MCS,Postgraduate School,9,9
MCS,Veridian Corp.,12,12
MCS,Universidad Rey Juan Carlos,13,13
MCS,Alberta Research Council,7,15
MCS,Sentient Corporation,9,17
MCS,KPS Partners LLC,11,21
MCS,BI Norwegian Business School,6,6
MCS,"Universidad del Norte, Colombia",6,12
MCS,Siddaganga Institute of Technology,5,5
MCS,Lebanon Valley College,8,8
MCS,Bose Corporation,11,11
MCS,e-Spirit AG,14,14
MCS,California State University San Bernardino,9,9
MCS,Computer and Automation Research Institute Hungarian Academy of Sciences,8,8
MCS,Courant Institute of Mathematical Sciences,13,13
MCS,Missouri University of Science and Technology,8,12
MCS,CeRSI,50,50
MCS,Lab. Plant Physiol. and Molec. Biol.,10,17
MCS,Zentrum für Europäische Wirtschaftsforschung GmbH,12,12
MCS,Air Force Engineering University China,10,10
MCS,"Know-Center, Graz",10,11
MCS,Zefat Academic College,16,16
MCS,Information Technology Department,11,11
MCS,Kamuzu College of Nursing,21,14
MCS,School of Computing,9,18
MCS,Holland and Davis LLC,8,8
MCS,Sumaria Systems Inc.,17,18
MCS,Universidade Federal do Estado do Rio de Janeiro,4,4
MCS,Ministry of Transport,17,17
MCS,Nuclear Installations Inspectorate,11,11
MCS,Centro Nacional de Supercomputación,11,11
MCS,CSTEP,50,50
MCS,GroupSystems.com,21,21
MCS,University of Brunel,9,9
MCS,Kasetsart University,9,9
MCS,McGladrey & Pullen,19,21
MCS,Shanghai Science and Technology University,9,9
MCS,IBM China Company Limited,14,7
MCS,Universidad Simón Bolívar,7,15
MCS,University of Central Oklahoma,6,12
MCS,Deloitte Consultancy,17,17
MCS,Graduate School of Politecnico,6,12
MCS,Great Lakes Institute of Management,5,5
MCS,HW Communications Ltd,25,25
MCS,Emory University School of Medicine,11,16
MCS,CRC for Enterprise Distributed Systems Technology (DSTC),10,7
MCS,Laboratoire Traitement et Communication de l'Information,7,7
MCS,Institute for Pervasive Computing,6,11
MCS,Newjersey Institute Of Technology,6,6
MCS,IU School of Informatics,22,22
MCS,Center for Collaboration Science,11,11
MCS,AT and T,0,0
MCS,Heilbronn Business School,7,7
MCS,Key Strategies and Solutions Inc.,6,11
MCS,National Energy Board,0,0
MCS,"SONY Computer Science Laboratory, Paris",14,15
MCS,Simpson College,22,22
MCS,United Nations Conference on Trade and Development,4,8
MCS,VODW,0,0
