Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Open Garden,Jinggangshan University,24,29
Open Garden,General Electric,30,30
Open Garden,"Versata, Inc",26,27
Open Garden,Center for Information Technology Renato Archer,24,28
Open Garden,ERPsim Lab,29,19
Open Garden,Kongkuk University,28,21
Open Garden,Università degli Studi di Palermo,23,28
Open Garden,Dutch Ministry of Security and Justice,24,29
Open Garden,Prnc. William Co. African-Amer. H.,27,34
Open Garden,Institut für Wirtschaftsinformatik,18,18
Open Garden,Dongguan University of Technology,32,32
Open Garden,Mongolian University of Science and Technology,28,25
Open Garden,National Chun Chen University,25,25
Open Garden,Workers Compensation Research Institute,32,24
Open Garden,University at Montgomery,23,29
Open Garden,Lukol Networks,24,16
Open Garden,Institute of Software Chinese Academy of Sciences,27,27
Open Garden,Pannasastra University of Cambodia,22,27
Open Garden,Fachhochschule Schmalkalden,37,26
Open Garden,Institute of Geographical Sciences and Natural Resources Research Chinese Academy of Sciences,19,17
Open Garden,Southampton Business School,26,26
Open Garden,College of Management,38,38
Open Garden,University of Delhi,27,33
Open Garden,University of the North Carolina,33,33
Open Garden,Communications Officer and Strategic Engagement at Li and Fung Ltd.,21,18
Open Garden,Li and Fung.,35,36
Open Garden,Dyax Corp.,19,20
Open Garden,DK Multimedia,17,25
Open Garden,"University of Hong Kong, School of Professional and Continuing Education",22,22
Open Garden,mcm Institute,17,17
Open Garden,Dexia Group,36,45
Open Garden,Social and Health Affairs department in the City of Lahti,24,24
Open Garden,Gartner Group Pacific,25,44
Open Garden,Telecom,22,22
Open Garden,Under the Guidance,34,41
Open Garden,Zeppelin Baumaschinen GmbH,38,38
Open Garden,Huawei Technologies Duesseldorf GmbH,21,26
Open Garden,Baragwanath Hospital,19,39
Open Garden,Shanghai First Maternity and Infant Health Hospital,19,26
Open Garden,Snitker and Co,32,40
Open Garden,Cornell University School of Hotel Administration,23,23
Open Garden,Trilogy Corp.,25,26
Open Garden,TEXAS EDUCATION AGENCY,36,36
Open Garden,Stevens Institute of Technology,24,24
Open Garden,University of Maine Business School,22,22
Open Garden,NEC Australia Pty Ltd,31,38
Open Garden,Orient. Logistics Group of Companies,30,30
Open Garden,Clinic of Radiotherapy and Oncology,26,26
Open Garden,University of Vienna Institute of Anatomy,23,23
Open Garden,NL-7300 AS,29,29
Open Garden,Kangnam University,28,28
Open Garden,University of Waika,20,13
Open Garden,Shri Shakaracharya Institute of Technology and Management,24,24
Open Garden,University of Zaragoza,24,18
Open Garden,ALBA Graduate Business School,30,30
Open Garden,Zhejiang Academy of Surveying and Mapping,27,31
Open Garden,VitalHealth Software,32,32
