Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Technical University of British Columbia,Yantai University,46,35
Technical University of British Columbia,Appalachien State University,44,50
Technical University of British Columbia,PliXos GmbH,27,27
Technical University of British Columbia,The London School of Econmocis and Political Science,37,39
Technical University of British Columbia,Ordina Finance,22,26
Technical University of British Columbia,Jiangsu Province Hospital,34,31
Technical University of British Columbia,EAStreet CAROLINA UNIVERSITY,47,56
Technical University of British Columbia,Hangzhou Automotive Engine Plant,33,33
Technical University of British Columbia,College of Telecommunications and Information Technology,38,44
Technical University of British Columbia,Fourth Shift,27,31
Technical University of British Columbia,"Aclima, Inc.",23,28
Technical University of British Columbia,U.S. General Services Administration,37,37
Technical University of British Columbia,Network Centric Operations,33,30
Technical University of British Columbia,Finnish Air Force HQ,30,30
Technical University of British Columbia,Samsung Research America,34,34
Technical University of British Columbia,Yichun University,49,35
Technical University of British Columbia,Tobacco Monopoly Administration of Changsha County,42,38
Technical University of British Columbia,San Jose University,41,51
Technical University of British Columbia,ITHUM Srl,24,29
Technical University of British Columbia,OC/ACE,13,17
Technical University of British Columbia,Network Foundation and D-Age Management Limited,28,32
Technical University of British Columbia,RISE Viktoria,34,30
Technical University of British Columbia,Veterans Administration,38,35
Technical University of British Columbia,Universite Paris-Saclay,51,54
Technical University of British Columbia,"Advanced Semiconductor Engineering, Inc.",32,28
Technical University of British Columbia,Dj and Dj Pty Ltd,25,25
Technical University of British Columbia,Mechanical Engineering,45,39
Technical University of British Columbia,Center for Advanced Technologies,33,39
Technical University of British Columbia,Tianjin Third Central Hospital,37,34
Technical University of British Columbia,Tianjin Haihe Hospital,39,39
Technical University of British Columbia,Community Wireless Infrastructure Research Project/Deep Tech,30,34
Technical University of British Columbia,University of Science and Technology of Chi,48,58
Technical University of British Columbia,N.S.W. State Fisheries,32,30
Technical University of British Columbia,MIT Haystack Observatory,34,31
Technical University of British Columbia,Charles Darwin University,46,49
Technical University of British Columbia,Information Systems at the University of Colorado in Colorado Springs,46,46
Technical University of British Columbia,Best Practice Consulting AG (BPC),36,34
Technical University of British Columbia,Mount Olive College,34,34
Technical University of British Columbia,Child and Adolescent Team,37,31
Technical University of British Columbia,Ernst and Young Centre for Business Innovation,40,33
Technical University of British Columbia,St Francis Xavier U,31,34
Technical University of British Columbia,University of Colorado Denve,53,56
Technical University of British Columbia,Independent Researcher,26,26
Technical University of British Columbia,Lusófona University,44,55
Technical University of British Columbia,"ALDI, Inc.",24,21
