Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
University of Southampton,Quebec Ministry of Justice,47,31
University of Southampton,Tradelink Electron. Docum. Serv. L.,27,36
University of Southampton,Le réseau de l'Université du Québec,40,46
University of Southampton,Forethought Research,27,36
University of Southampton,Fidelity Business Services India Pvt. Ltd.,33,28
University of Southampton,"Aldo Ventures, Inc",28,38
University of Southampton,California State University Stanislaus,48,57
University of Southampton,Scopus Technology,29,33
University of Southampton,Kerala State Council for Science,35,32
University of Southampton,Graduate School of Business,35,27
University of Southampton,University of Kerala,67,58
University of Southampton,Pomona College,21,31
University of Southampton,Unit 4 Agresso,41,41
University of Southampton,Dong Eui University,45,64
University of Southampton,Università degli Studi di Sassari,48,49
University of Southampton,College of Applied Sciences-Sohar,31,28
University of Southampton,Environment Canada,33,33
University of Southampton,European Molecular Biology Laboratory Hamburg,34,31
University of Southampton,Freie Universität Berlin,45,46
University of Southampton,University of Newcastle Faculty of Medicine and Health Sciences,48,45
University of Southampton,University of Bridgeport,65,57
University of Southampton,CIBC,7,7
University of Southampton,University of Michigan School of Public Health,56,51
University of Southampton,Computing University,44,71
University of Southampton,Manager,19,25
University of Southampton,Wolverhampton Business School,37,37
University of Southampton,PSG College of Technology,32,32
University of Southampton,International Hellenic University,34,59
University of Southampton,École nationale supérieure d'Informatique,30,41
University of Southampton,Christchurch Polytechnic Institute of Technology,36,27
University of Southampton,Cubic Transportation Systems (Australia) Pty Limited,34,29
University of Southampton,College of Information Sciences and Technology,28,37
University of Southampton,Secretaria de Assuntos Estratégicos da Presidência da República,27,31
University of Southampton,Woods Hole Oceanographic Institution,33,36
University of Southampton,Instituto de Pesquisa Ambiental da Amazônia,35,30
University of Southampton,Centre de Sociologie de l'Innovation,36,30
University of Southampton,Barwon Water,27,32
University of Southampton,Infineon Technologies Richmond,36,40
University of Southampton,Wenzhou University,47,47
University of Southampton,Price Waterhouse UP,32,32
University of Southampton,Central Bank of Kuwait,38,30
University of Southampton,University of West London,72,56
University of Southampton,European Business School (EBS,33,26
University of Southampton,ADL Solutions,37,42
University of Southampton,"College of Medicine and Veterinary Medicine, Edinburgh Medical School",26,30
University of Southampton,"Baidu, Inc.",17,18
University of Southampton,Lawrence Technological University,34,52
University of Southampton,Bank of Canada,36,21
University of Southampton,Institute of Technology in Communications at Tunis,37,37
University of Southampton,Shenyang Institute of Aeronautical Engineering,39,37
University of Southampton,Ewha University,50,65
University of Southampton,"Dongbang SnC Co., Ltd.",26,32
University of Southampton,"Universidade Catolica Portuguesa, Porto",53,48
University of Southampton,Vocation Training Council,32,32
University of Southampton,U.S. Army Medical Department Center & School,29,24
University of Southampton,Baumeisterstr. 48,33,39
University of Southampton,Zhengzhoug University of Light Industry,53,50
University of Southampton,Michigan Technological State University,31,53
University of Southampton,IPAG Business School,36,22
University of Southampton,Technology,17,23
University of Southampton,NLD Defense Academy,27,23
University of Southampton,Det Norske Veritas Pte. Ltd.,34,39
University of Southampton,Ausdrill Ltd,27,27
University of Southampton,University of Nicosia,70,65
University of Southampton,Chinese Military Academy Taiwan,39,32
University of Southampton,Texas Tech University System,53,57
University of Southampton,UniversitatsSpital Zurich,48,36
University of Southampton,Leiden University,48,57
University of Southampton,Università degli Studi del Piemonte Orientale Amedeo Avogadro,40,42
University of Southampton,Høgskolen i Bergen,23,29
University of Southampton,Bang College of Business,33,29
