,Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
2658,Coll. Admin. Bus.,Coll. Bus. Admin.,71,100
4911,Chung Yuan Christian University,Chung Jung Christian University,94,84
7326,Norwegian School of Information Technology (NITH),Norwegian School of Information Technology,92,94
6753,University of Waikato,University of Waika,95,95
6979,Hochschule Bonn-Rhein-Sieg,Hochschule Bonn-Rhein-Sieg,100,100
7526,Hochschule Bonn-Rhein-Sieg,Fachhochschule Bonn-Rhein-Sieg,93,93
4264,American Institutes for Research,American Institutes for Research,100,100
5922,American Institutes for Research,American Institutes for Research,100,100
8841,Nottingham Business School,Nottingham Business School,100,100
8303,San Diego University,San Diego University,100,100
5697,ALBA Graduate Business School,ALBA Graduate Business School,100,100
2765,Beuth University of Applied Sciences,University of Applied Sciences,91,91
2938,Beuth University of Applied Sciences,University of Applied Sciences,91,91
3356,Beuth University of Applied Sciences,University of Applied Sciences,91,91
5951,Beuth University of Applied Sciences,University of Applied Sciences (FH),85,93
6470,Beuth University of Applied Sciences,University of Applied Sciences,91,91
7259,Beuth University of Applied Sciences,Beuth University of Applied Sciences Berlin,91,91
9640,School of Economics and Management,School of Economics and Management,100,100
2346,China Huanqiu Contracting and Engineering Corporation,China Huanqiu Contracting and Engineering Corporation,100,100
8572,South Carelia Polytechnic,South Carelia Polytechnic,100,100
938,School Management,School of Management,92,92
4848,Systems (ERCIS),Systems (ERCIS,97,100
4590,University of Wolverhampton,University of Wolverhampton,100,100
1759,Computer Sciences Corporation,Computer Sciences Corporation - USA,91,94
9193,University of Indianapolis,University of Indianapolis,100,100
7628,ICN Business School,IE Business School,92,92
3105,Duke University School of Medicine,Yale University School of Medicine,91,85
6219,Duke University School of Medicine,"Ajou University, School of Medicine",90,91
1538,College of Charleston,College of Charleston,100,100
1901,College of Business,College of Business,100,100
3346,College of Business,College of Business,100,100
4628,College of Business,College of Business,100,100
4777,College of Business,College of Business,100,100
6895,University of British,University of British,100,100
8433,Missouri University of Science and Technology,Southern University of Science and Technology,91,80
4262,Uninettuno University,Uninettuno University,100,100
5427,Uninettuno University,Nettuno University,92,92
9290,Uninettuno University,Nettuno University,92,92
5919,Yangzhou University,Guangzhou University,92,51
404,Templeton College,Templeton College,100,100
3550,Templeton College,Templeton College,100,100
7635,Tokyo Keizai University,Tokyo Keisai University,96,96
