,Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
2861,University of Science and Technology (UST),Wuhan University of Science and Technology,86,93
2779,Baha'i Institute for Higher Education (BIHE),The Bahá'í Institute for Higher Education (BIHE),91,92
4962,Baha'i Institute for Higher Education (BIHE),Bahai Institute for Higher Education (BIHE,98,96
5142,Hanyang University,Hanyang University,100,100
8537,Hanyang University,Hainan University,91,91
1127,Hong Kong University of Science and Technology,Hunan University of Science and Technology,91,91
2476,Hong Kong University of Science and Technology,Shandong University of Science and Technology,92,79
4022,Hong Kong University of Science and Technology,Chongqing University of Science and Technology,93,93
4584,Hong Kong University of Science and Technology,Heilongjiang University of Science and Technology,91,91
6326,Hong Kong University of Science and Technology,Chang Gung University of Science and Technology,92,92
8254,Hong Kong University of Science and Technology,Mongolian University of Science and Technology,91,91
9157,Texas Woman's University,Texas Woman’s University,96,100
172,Wrocław University of Science and Technology,Macau University of Science and Technology,91,84
1908,Wrocław University of Science and Technology,China University of Science and Technology,91,84
536,Hochschule Bonn-Rhein-Sieg,Fachhochschule Bonn-Rhein-Sieg,93,93
4293,COMSERV Corporation,COMSERV Corporation,100,100
8705,East Carolina University,EAStreet CAROLINA UNIVERSITY,92,92
7598,Postgraduate School,Postgraduate School,100,100
8398,Cochin University of Science and Technology,University of Science and Technology,91,91
9071,Cochin University of Science and Technology,Wuhan University of Science and Technology,92,85
9383,National University of Singapore (Suzhou) Research Institute,National University of Singapore (Suzhou) Research Institute,100,100
1644,School of Business,School of Business,100,100
561,INSEAD,INSEAD,100,100
1813,INSEAD,INSEAD,100,100
3920,National Defense University,National Defense University,100,100
2459,University of Science and Technology,Jinwen University of Science Technology,85,91
2511,University of Science and Technology,University of Science and Technology (UST),92,95
2562,University of Science and Technology,Wuhan University of Science and Technology,92,92
2888,University of Science and Technology,Macau University of Science and Technology,92,92
3711,University of Science and Technology,Jordan University of Science and Technology,91,91
4624,University of Science and Technology,China University of Science and Technology,92,92
5052,University of Science and Technology,Xi'an University of Science and Technology,92,92
5168,University of Science and Technology,Anhui University of Science and Technology,92,92
5213,University of Science and Technology,Hebei University of Science and Technology,92,92
5297,University of Science and Technology,Jinwen University of Science and Technology,91,91
6061,University of Science and Technology,University of Science and Technology of Chi,91,91
7156,University of Science and Technology,Guangdong University of Science & Technology,82,92
7244,University of Science and Technology,Wegian University of Science and Technology,91,91
7606,State University,State University,100,100
7811,State University,State University,100,100
9781,State University,State University,100,100
9408,College of Business Administration,College of Business Administration,100,100
9508,College of Business Administration,College of Business Administration,100,100
461,The California State University,California State University,93,93
557,University of South Africa,University of South Pacific,91,79
5488,Universidade do Estado do Rio de Janeiro,Universidade Federal do Estado do Rio de Janeiro,91,91
6242,Sociotechnic Solutions Ltd,Sociotechnic Solutions Ltd.,98,100
8634,European Research Center for Information Systems (ERCIS),European Research Center for Information Systems,92,94
9003,European Research Center for Information Systems (ERCIS),ERCIS - European Research Center for Information Systems,86,100
7134,USTC-CityU Joint Advanced Research Center,USTC-CityU Joint Advanced Research Centre,98,98
7397,USTC-CityU Joint Advanced Research Center,USTC-CityU Joint Advanced Research Center,100,100
7940,USTC-CityU Joint Advanced Research Center,USTC-CityU Advanced Research Center,92,92
4154,NHS South Warwickshire Clinical Commissioning Group,South Warwickshire Clinical Commissioning Group,96,96
118,Jiangxi University of Science and Technology,Jiangxi Science and Technology Normal University,65,93
4697,Xi'an Jiaotong University,Xi’an Jiao tong University,94,98
7070,Hertie School of Governance,Hertie School of Governance,100,100
2449,Southeast University,Southeastern University,93,93
5586,Southeast University,Southeastern University,93,93
7078,Southeast University,Southeastern University,93,93
2548,Institute for the Future,Institute for the Future,100,100
662,University of Liechtenstein,University of Liechtenstein,100,100
1435,University of Liechtenstein,University of Liechtenstein,100,100
7114,Yunnan University of Finance and Economics,Anhui University of Finance and Economics,92,84
4102,Maastricht University,Maastricht University,100,100
4722,Swansea University,Waseda University,91,57
1244,Concord University,Concordia University,95,95
3148,Concord University,Concordia University,95,95
4102,Concord University,Concordia University,95,95
4196,Concord University,Concordia University,95,95
4480,Concord University,Université Concordia,47,92
2766,Quinnipac University,Qunnipiac University,95,95
6776,University of Malta,University of Malta,100,100
7879,University of Malta,University of Malta,100,100
7086,University of Lethbridge,University of Leth-Bridge,98,82
4063,University of South Dakota,University of North Dakota,92,81
7476,Northern Illinois University,Northeastern Illinois University,93,93
4292,PSNA College of Engineering and Technology,James College of Engineering and Technology,92,87
7642,Centro de Investigación y Docencia Económicas (CIDE),Centro de Investigación Y Docencias Económicas,92,93
9750,University of Masachusetts,University of Massachusetts,98,98
3564,BiZZdesign,BiZZdesign,100,100
5517,Dong-A University,Donghua University,91,86
6286,Xidian University,Diwan University,91,61
1738,Universidade Catolica Portuguesa,"Universidade Catolica Portuguesa, Porto",90,91
3017,Open University Business School,University Business School,91,91
3595,Open University Business School,University Business School,91,91
944,Università degli Studi di Verona,Università degli Studi di Genova,91,77
3776,Università degli Studi di Verona,Università degli Studi di Siena,92,79
3047,University of Southampton,University of Northampton,92,80
733,Bowie State University,Boise State University,95,95
4218,Bowie State University,Boise State University,95,95
4943,Bowie State University,BOISE STATE UNIVESITY,93,93
3174,Bootstrap Institute,Bootstrap Institute,100,100
2336,Bangor University,Bangkok University,91,91
1188,Deloitte Consulting,Deloitte Consulting,100,100
2432,Deloitte Consulting,Deloitte Consulting,100,100
4471,The Norwegian School of Information Technology,Norwegian School of Information Technology,95,95
2927,Universität Regensburg,Universiät Regensburg,98,98
4270,Joanne H. Pratt Associates,Joanne H. Pratt Associates,100,100
9564,Hunan University of Technology,China University of Technology,93,93
6649,Dickson Computer Systems,Dickson Computer Systems,100,100
9845,"Keimyung University (KU), College of Medicine","Kyung Hee University (KHU), College of Medicine",91,84
879,York University,York University,100,100
2863,York University,York University,100,100
4911,University of Redlands,University of Nordland,91,82
8629,SAP Research,SAP Research,100,100
8011,Det Norske Veritas Pte. Ltd.,Det Norske Veritas Pty Ltd,93,96
9540,Det Norske Veritas Pte. Ltd.,Det Norske Veritas Pte Ltd,96,100
2720,Southwest University of Finance and EcoNomics,Southwestern University of Economics and Finance,71,97
5388,Woxsen School of Business,Woxsen School of Business,100,100
8845,IMP,IMP,100,100
8971,Richmond University,University of Richmond,49,93
8184,"Shincron Co., Ltd.",Shincron Co. Ltd.,97,100
8802,Hainan Normal University,Hunan Normal University,94,94
3000,Università degli Studi di Bergamo,Università degli Studi di Perugia,91,75
3519,Università degli Studi di Bergamo,Università degli Studi di Palermo,91,75
6279,"ALDI, Inc.","ALDI, Inc.",100,100
6538,Neodin Veterinary Science Institute,NeoDin Veterinary Science Institute,100,100
288,SRA International,SRI International,94,94
452,College of Business Administration,College of Business Administration,100,100
7389,Instituto Politécnico Nacional (IPN),Instituto Politécnico Nacional,91,94
4847,I. T. Partners Ltd.,IT Partners Ltd.,91,90
6555,German Graduate School of Management and Law,German Graduate School of Management and Law,100,100
8158,University of Wisconsin Whitewater,University of Wisconsm-whitewater,93,96
4794,Korea Institute of Procurement,Korea Institute of Procurement,100,100
296,Stevens Instiutute of Technology,Stevens Institute of Technology,98,98
943,University of Liechtenstein,University of Liechtenstein,100,100
1447,University of Liechtenstein,University of Liechtenstein,100,100
2740,University of Liechtenstein,Liechtenstein University,51,94
3160,University of Liechtenstein,University of Lichtenstein,98,98
3938,University of Liechtenstein,Liechtenstein University,51,94
8284,University of Liechtenstein,University of Liechtenstein,100,100
8787,University of Liechtenstein,University of Liechtenstein,100,100
9560,University of Liechtenstein,University of Liechtenstein,100,100
4882,TU,TU,100,100
8148,Pink Elephant Inc,Pink Elephant Inc,100,100
4077,Sichuan University of Arts and Science,Xian University of Arts and Science,93,82
1268,York University,York University,100,100
1747,York University,York University,100,100
2750,York University,York University,100,100
4734,York University,York University,100,100
212,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
2693,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
1884,University of North,Northern University of,63,93
7681,Yale University School of Medicine,Temple University School of Medicine,91,83
8774,Yale University School of Medicine,Nagoya University School of Medicine,91,83
1848,Beijing Normal University,Neijiang Normal University,94,94
6727,Centric,Centric,100,100
1976,Fortune Institute of International Business,Fortune Institute of International Business,100,100
220,Cochin University of Science and Technology,Jordan University of Science and Technology,91,91
521,Cochin University of Science and Technology,Chongqing University of Science and Technology,92,92
928,Cochin University of Science and Technology,University of Science and Technology Liaoning,82,91
932,Cochin University of Science and Technology,Changchun University of Science and Technology,92,92
1133,Cochin University of Science and Technology,China University of Science and Technology,96,96
1561,Cochin University of Science and Technology,Xi'an University of Science and Technology,92,87
1677,Cochin University of Science and Technology,Anhui University of Science and Technology,92,92
1722,Cochin University of Science and Technology,Hebei University of Science and Technology,92,92
1806,Cochin University of Science and Technology,Jinwen University of Science and Technology,91,91
2570,Cochin University of Science and Technology,University of Science and Technology of Chi,84,93
2972,Cochin University of Science and Technology,Chien Hsin University of Science and Technology,91,91
3753,Cochin University of Science and Technology,Wegian University of Science and Technology,91,84
1937,University of Sussex,University of Essex,92,77
6402,Deloitte Consulting,Deloitte Consulting BV,93,93
9434,Deloitte Consulting,Deloitte Consulting,100,100
2286,Shanghai Academy of Social Science,Shanghai Academy of Social Sciences,99,99
1384,Shaanxi University of Science and Technology,Hunan University of Science and Technology,93,84
1475,Shaanxi University of Science and Technology,Harbin University of Science and Technology,92,83
2733,Shaanxi University of Science and Technology,Shandong University of Science and Technology,92,92
2829,Shaanxi University of Science and Technology,Wuhan University of Science and Technology,93,84
3155,Shaanxi University of Science and Technology,Macau University of Science and Technology,91,84
4784,Shaanxi University of Science and Technology,Shanghai Science and Technology University,65,91
4891,Shaanxi University of Science and Technology,China University of Science and Technology,91,84
5319,Shaanxi University of Science and Technology,Xi'an University of Science and Technology,91,84
5435,Shaanxi University of Science and Technology,Anhui University of Science and Technology,93,84
5480,Shaanxi University of Science and Technology,Hebei University of Science and Technology,91,84
7109,Shaanxi University of Science and Technology,Taiyuan University of Science and Technology,91,91
1338,Madras Institute of Technology,Mauá Institute of Technology,90,91
7439,Indian Institute of Technology Madras,Indian Institute of Technology Mandi,93,93
5923,Mercer University,Mercer University,100,100
7738,Mercer University,Mercer University,100,100
1440,University of Rochester,University of Chester,95,82
1823,University of St. Gallen,University of St. Gallen,100,100
2684,Deloitte Research,Deloitte Research,100,100
7832,Yuhan University,Yunnan University,91,91
580,Tisco GmbH,Tisco GmbH,100,100
1606,Aachen Institute of Technology,Yancheng Institute of Technology,94,74
1872,PersonalGenomes.org,Personalgenomes.org,100,100
6623,"Karlsruhe Institute of Technology, Campus South","Karlsruhe Institute of Technology, Campus North",96,89
2056,RedBridge AB,RedBridge AB,100,100
476,Hong Kong Baptist University,Hong Kong Baptist University,100,100
651,Hong Kong Baptist University,Hong Kong Baptist Universit,98,98
5116,College of Business Administration,College of Business Administration,100,100
7895,College of Business Administration,College of Business Administration,100,100
8221,College of Business Administration,College of Business Administration,100,100
8407,College of Business Administration,College of Business Administration,100,100
8642,College of Business Administration,College of Business Administration,100,100
881,Dalian University of Technology,Auckland University of Technology,91,91
2301,Dalian University of Technology,Tallinn University of Technology,92,83
2441,Dalian University of Technology,Nan Kai University of Technology,86,92
5149,Dalian University of Technology,Tainan University of Technology,94,84
6662,Dalian University of Technology,Taiyuan University of Technology,92,83
4880,International Institute for Socio-Informatics (IISI),International Institute for Socio-Informatics,93,95
6675,China Agricultural University,China Agricultural University,100,100
7512,East China University of Science and Technology,Cochin University of Science and Technology,91,91
9184,Boise State University,Boise State University,100,100
9909,Boise State University,BOISE STATE UNIVESITY,98,98
9232,PricewaterhouseCoopers LLP,PricewaterhouseCoopers,92,92
7996,IESE Business School,EBS Business School,92,92
831,School of Business Administration,School of Business Administration,100,100
4924,Stevens Instiutute of Technology,Stevens Institute of Technology,98,98
3709,Horváth and Partners Management Consultants,Horvàth and Partners Management Consultants,98,100
1393,Universität St. Gallen,Universität St. Gallen (HSG,90,91
1533,Towson University,Towson University,100,100
4861,Towson University,Towson University,100,100
1952,University of Bath,University of Art,91,91
172,Ariel University,Ariel University,100,100
5417,Ariel University,Ariel University,100,100
630,MIS,MIS,100,100
1404,MIS,MIS,100,100
5197,MIS,MIS,100,100
6431,MIS,MIS,100,100
8616,CA Inc.,CA Inc.,100,100
4557,Reliant Medical Group,Reliant Medical Group,100,100
7276,Southeastern University,Southeastern University,100,100
7705,University of the West Indies,University of the West Indie,98,98
2013,Neodin Veterinary Science Institute,Neodin Veterinary Science Institute Co. Ltd,90,91
4834,Center for Creative Leadership,Center for Creative Leadership,100,100
7047,Center for Creative Leadership,Center for Creative Leadership,100,100
8062,Tang Global Consulting Group,Tang Global Consulting Group,100,100
2795,School of Informatics,IU School of Informatics,93,93
528,College of Business Administration,College of Business Administration,100,100
628,College of Business Administration,College of Business Administration,100,100
2467,College of Business Administration,College of Business Administration,100,100
7011,Meiji University,Meijo University,94,94
7203,UNSW Australia Business School,UNSW Australia Business School,100,100
1639,Anhui University of Technology,Lanzhou University of Technology,94,94
2045,Anhui University of Technology,Hubei University of Technology,93,93
9584,Namibia University of Science and Technology,China University of Science and Technology,91,91
3662,PrimeKey Solutions AB,PrimeKey Solutions AB,100,100
2139,College of Management,College of Management,100,100
5574,College of Management,College of Management,100,100
2488,Quinnipiac University,Qunnipiac University,98,98
7145,Western Business School,Western Business School,100,100
9052,Western Business School,Stern Business School,95,95
1510,Shanxi University of Finance and EcoNomics,Anhui University of Finance and Economics,94,84
297,NeoDin Veterinary Science Institute,Neodin Veterinary Science Institute Co. Ltd,90,91
9263,Texas A/M International University,Texas AandM International University,94,91
9918,Texas A/M International University,Texas AandM International University,94,91
9064,"California State Polytechnic University, Pomona",California Sate Polytechnical University,87,91
627,University of Hawaii at Manoa,University of Hawaii at Manoa,100,100
8697,Chung Hua University,Hsuan Chuang University,84,93
1040,"City, University of London",City University Londona,90,92
1953,Liechtenstein University,Universität Liechtenstein,53,96
2665,Liechtenstein University,UNIVERSITAT LIECHTENSTEIN,53,94
5126,Liechtenstein University,University of Liechtenstein,51,94
5629,Liechtenstein University,University of Liechtenstein,51,94
6402,Liechtenstein University,University of Liechtenstein,51,94
3782,Kent State University,Kentucky State University,91,91
707,College of Business Administration,College of Business Administration,100,100
2593,College of Business Administration,College of Business Administration,100,100
2693,College of Business Administration,College of Business Administration,100,100
4532,College of Business Administration,College of Business Administration,100,100
5663,Macon State College,Macon State College,100,100
4388,Sethu Institute of Technology,Shu-Te Institute of Technology,92,92
470,IE Business School,EBS Business School,92,92
579,IE Business School,Business School,91,91
928,IE Business School,IESE Business School,95,95
1004,IE Business School,Ivey Business School,95,95
3602,IE Business School,EBS Business School,92,92
9813,Ivey Business School,Ivey School of Business,60,93
8872,USTC-CityU Joint Research Center,USTC-City U Joint Research Center,98,95
7116,Western University,University of Western,51,92
7166,Western University,Webster University,94,94
9122,Western University,Western University,100,100
9506,Internal Revenue Service,Internal Revenue Service,100,100
2894,University of Applied Sciences,Harz University of Applied Sciences,92,92
3003,University of Applied Sciences,Avans University of Applied Sciences,91,91
3673,University of Applied Sciences,FOM University of Applied Sciences,94,94
4084,University of Applied Sciences,University of Applied Sciences (FH),92,95
4603,University of Applied Sciences,University of Applied Sciences,100,100
1603,Jiangxi University of Science and Technology,Nanjing University of Science and Technology,93,93
2212,Jiangxi University of Science and Technology,University of Science and Technology Beijing,82,93
2668,Jiangxi University of Science and Technology,Kunming University of Science and Technology,91,91
2674,Jiangxi University of Science and Technology,Jiangsu University of Science and Technology,95,95
2701,Jiangxi University of Science and Technology,Shaanxi University of Science and Technology,93,82
2777,Jiangxi University of Science and Technology,Qingdao University of Science and Technology,91,86
2811,Jiangxi University of Science and Technology,Hunan University of Science and Technology,91,91
3174,Jiangxi University of Science and Technology,AGH University of Science and Technology,93,88
4256,Jiangxi University of Science and Technology,Wuhan University of Science and Technology,91,84
4326,Jiangxi University of Science and Technology,Takming University of Science and Technology,91,82
5405,Jiangxi University of Science and Technology,Jordan University of Science and Technology,92,92
6113,Jiangxi University of Science and Technology,University of Science and Technology Liaoning,81,92
6318,Jiangxi University of Science and Technology,China University of Science and Technology,91,91
6746,Jiangxi University of Science and Technology,Xi'an University of Science and Technology,93,88
6862,Jiangxi University of Science and Technology,Anhui University of Science and Technology,93,93
6991,Jiangxi University of Science and Technology,Jinwen University of Science and Technology,92,92
8536,Jiangxi University of Science and Technology,Taiyuan University of Science and Technology,91,82
8938,Jiangxi University of Science and Technology,Wegian University of Science and Technology,92,83
7626,University of Technology,University of Technology,100,100
8626,University of Technology,University of Technology,100,100
1754,Jianghan University,Jiangnan University,95,95
1687,Northeastern University,Southeastern University,91,91
4824,Northeastern University,Southeastern University,91,91
6316,Northeastern University,Southeastern University,91,91
5264,USTC-City U Joint Research Center,USTC-CityU Joint Research Center,98,95
5747,USTC-City U Joint Research Center,USTC-City U Joint Research Center,100,100
8775,Florida State University,Florida State Universit,98,98
9960,Florida State University,Florida Stale University,96,96
5385,Singapore Management University,Singapore Management University,100,100
9165,Almende B.V.,Almende BV,91,95
4771,"A.O. Smith Data Systems, Inc.",A. O. Smith Data Systems,87,92
9671,Institute of Technology,Mauá Institute of Technology,90,92
1172,School of Management SUNY Buffalo,School of Management SUNY at Buffalo,96,96
4639,European Research Center for Information Systems (ERCIS,European Research Center for Information Systems (ERCIS),99,100
5862,European Research Center for Information Systems (ERCIS,European Research Center for Information Systems (ERCIS),99,100
7424,European Research Center for Information Systems (ERCIS,European Research Center for Information Systems,93,94
7793,European Research Center for Information Systems (ERCIS,ERCIS - European Research Center for Information Systems,86,100
9897,IULM University,IULM University,100,100
1447,"INFOBEYOND TECHNOLOGY, LLC",InfoBeyond Technology LLC,98,100
38,Hainan Normal University,Huainan Normal University,98,98
4681,IPAG Business School,IPAG Business School,100,100
2254,Tata Research Development and Design Centre,Tata Research Development and Design Center,98,98
1429,Centro de Investigacíon y Docencia Econ ́omicas (CIDE,Centro de Investigación y Docencia Económicas (CIDE),91,86
2563,Centro de Investigacíon y Docencia Econ ́omicas (CIDE,Centro de Investigación y Docencia Económicas (CIDE,92,86
5855,Centro de Investigacíon y Docencia Econ ́omicas (CIDE,Centro de Investigación y Docencia Económicas (CIDE),91,86
900,Shenyang Institute of Aeronautical Engineering,Shenyang Institute of Aeronautical Engineering,100,100
8297,University of Central Arkansas,University of Central Arkansas,100,100
2500,Western Kentucky University,Eastern Kentucky University,96,70
5761,York University,University of York,61,91
7218,York University,York University,100,100
9134,York University,York University,100,100
9397,York University,York University,100,100
9876,York University,York University,100,100
6465,Sam Houston State University,Sam Houston State University,100,100
762,J. Mack Robinson College of Business,J. Mack Robinson College of Business,100,100
1925,College of Business Administration,College of Business Administration,100,100
2160,College of Business Administration,College of Business Administration,100,100
4046,College of Business Administration,College of Business Administration,100,100
4146,College of Business Administration,College of Business Administration,100,100
5985,College of Business Administration,College of Business Administration,100,100
599,CA Consultants,AI Consultants,93,93
8665,CA Inc.,CA Inc.,100,100
2204,Changwon National University,Kangwon National University,95,95
1226,Arkansas State University,Arkanses State University,96,96
6929,Università degli Studi di Messina,Università degli Studi di Siena,94,94
6088,McGill University,Magill University,94,94
9351,Xidian University,Indiana University,91,57
7698,Amsterdam Business School,Amsterdam Business School,100,100
8375,Quinnipac University,Quinnipiac University,98,98
9769,Ariel University,Ariel University,100,100
9721,Northern Illinois University,Southern Illinois University,93,93
5783,Optus,Optus,100,100
1121,National Chung Hsing University,National Chung Cheng University,94,90
702,Southampton Business School,Southampton Business School,100,100
7132,Sunnaas Rehabilitation Hospital,Sunnaas Rehabilitation Hospital,100,100
3417,"Institute for Information Management Bremen, GmbH",Institut für Informationsmanagement Bremen GmbH,94,79
3961,"Institute for Information Management Bremen, GmbH",Institute for Information Management Bremen,93,95
4764,Arizona University,Arizona University,100,100
2633,AGH University of Science and Technology,Cochin University of Science and Technology,92,87
2959,AGH University of Science and Technology,University of Science and Technology,95,95
3536,AGH University of Science and Technology,Shandong University of Science and Technology,92,85
3632,AGH University of Science and Technology,Wuhan University of Science and Technology,93,88
3702,AGH University of Science and Technology,Takming University of Science and Technology,93,86
3958,AGH University of Science and Technology,Macau University of Science and Technology,93,88
4781,AGH University of Science and Technology,Jordan University of Science and Technology,92,89
5493,AGH University of Science and Technology,Changchun University of Science and Technology,93,86
5694,AGH University of Science and Technology,China University of Science and Technology,93,88
6122,AGH University of Science and Technology,Xi'an University of Science and Technology,93,93
6238,AGH University of Science and Technology,Anhui University of Science and Technology,95,90
6283,AGH University of Science and Technology,Hebei University of Science and Technology,93,88
8314,AGH University of Science and Technology,Wegian University of Science and Technology,92,87
8414,Information Systems (IS,Information Systems,90,93
127,York University,York University,100,100
2111,York University,York University,100,100
7021,The University of Hong Kong,The Open University of Hong Kong,92,92
5184,Senacor Technologies AG,Senacor Technologies AG,100,100
6172,Senacor Technologies AG,Senacor Technologies AG,100,100
7107,Senacor Technologies AG,Senacor Technologies AG,100,100
2812,University Guglielmo Marconi,University of Guglielmo Marconi,95,95
3973,Saginaw Valley State University,Saginaw Valley State University,100,100
3654,Andersen Consulting,Andersen Consulting,100,100
4557,Andersen Consulting,Anderson Consulting,95,95
5746,Andersen Consulting,Andersen Consulting,100,100
9767,Andersen Consulting,Andersen Consulting,100,100
9426,Concordia University,Concordia University,100,100
9520,Concordia University,Concordia University,100,100
9804,Concordia University,Université Concordia,45,97
2416,UNITY AG,UNITY AG,100,100
541,Changsha University of Science and Technology,Shandong University of Science and Technology,91,80
637,Changsha University of Science and Technology,Wuhan University of Science and Technology,92,83
2498,Changsha University of Science and Technology,Changchun University of Science and Technology,95,95
2699,Changsha University of Science and Technology,China University of Science and Technology,94,94
3243,Changsha University of Science and Technology,Anhui University of Science and Technology,92,92
4391,Changsha University of Science and Technology,Chang Gung University of Science and Technology,91,91
9040,University of Missouri-St,University of Missouri S and T,87,91
7762,"University of International Business and Economics, Beijing",University of International Business and Economics in China,92,85
231,Tainan University of Technology,Hunan University of Technology,92,82
730,Tainan University of Technology,China University of Technology,92,82
1628,Tainan University of Technology,Taiyuan University of Technology,95,95
9411,Chongqing University of Science and Technology,University of Science and Technology Liaoning,79,92
9415,Chongqing University of Science and Technology,Changchun University of Science and Technology,91,91
9566,Chongqing University of Science and Technology,Heilongjiang University of Science and Technology,93,93
9616,Chongqing University of Science and Technology,China University of Science and Technology,93,93
376,University of Limerick,University of Limerick,100,100
7999,Faculty of Economics and Business Administration,Faculty of Economics and Business Administration,100,100
2539,Troy University,Troy University,100,100
6699,"Pendére, Inc.","Pendére, Inc",96,100
647,Audencia Nantes School of Management,Audencia Nantes School of Management,100,100
4497,Wuhan Yangtze Business University,Wuhan Yangtze Business University,100,100
9058,"Mitsubishi Research Institute, Inc.",Mitsubishi Research Institute,91,94
8818,IE Business School,IESE Business School,95,95
9987,IE Business School,EBS Business School,92,92
626,Georgia Gwinnett College,Georgia Gwinnett College,100,100
2084,Georgia Gwinnett College,Georgia Gwinett College,98,98
3432,Georgia Gwinnett College,Georgia Gwinnett College,100,100
5074,Universiti Putra Malaysia,Universiti Utara Malaysia,96,76
158,Institute of Public Administration,Institute of Public Administration Riyadh,91,91
6079,Arvato Services Benelux B.V,Arvato Services Benelux B.V.,98,100
6477,University of Texas-Pan American,Texas University-Pan American,75,95
3,Xamax Consultancy Pty Ltd,Xamax Consultancy Pty Ltd,100,100
101,Xamax Consultancy Pty Ltd,XamaX Consultancy Pty. Ltd.,96,100
6050,University Business School,University Business School,100,100
7003,University Business School,City University Business School,91,91
7266,University Business School,City University Business School,91,91
722,Texas A/M International University,Texas A and M International University,92,94
1085,Texas A/M International University,Texas A and M International University,92,94
8813,Shanghai Academy of Agricultural Sciences,Shanxi Academy of Agricultural Sciences,95,95
5358,University of St. Gallen,University of St. Gallen,100,100
7427,University of St. Gallen,University of St. Gallen,100,100
8286,University of St. Gallen,University of St. Gallen,100,100
6780,Shi Hezi University,Shihezi University,97,81
8678,Deutsches Forschungszentrum für Künstliche Intelligenz,Deutsches Forschungszentrum für K̈nstliche Intelligenz (DFKI),92,95
2171,National University of Singapore (Suzhou) Research Institute,National University of Singapore (Suzhou) Research Institute,100,100
3134,National University of Singapore (Suzhou) Research Institute,National University of Singapore (Suzhou) Research Institute,100,100
12,Namibia University of Science and Technology,Xi'an University of Science and Technology,91,86
128,Namibia University of Science and Technology,Anhui University of Science and Technology,91,91
173,Namibia University of Science and Technology,Hebei University of Science and Technology,91,91
1802,Namibia University of Science and Technology,Taiyuan University of Science and Technology,91,82
3381,University of Canterbury,University of Canterbuury,98,98
9645,SAP Australia Pty Ltd.,SAP Australia Pty Ltd,98,100
4839,National Central University,National Central University,100,100
3236,Cornell University,Cornell Universit,97,97
2774,York University,York University,100,100
6592,Texas A and M International University,Texas A and M International University,100,100
9878,Loughborough Research Centre for Global Sourcing and Services,Loughborough Centre for Global Sourcing and Services,92,92
9846,Wrocław University of Science and Technology,Wuhan University of Science and Technology,91,91
9760,Fuzhou University,Guizhou University,91,91
1100,Danmarks Tekniske Universitet,Denmarks Tekniske Universitet,97,97
2916,Univ. N. C.,Univ. N. T.,91,75
7228,City University London,"City, University of London",92,94
6798,Western Illinois University,Eastern Illinois University,96,70
4222,Korea District Heating Corp.,Korea District Heating Corp.,100,100
3145,Beijing Institute of Architectural Design,Beijing Canbao Institute of Architectural Design,92,92
4506,Qingdao University of Science and Technology,Hunan University of Science and Technology,91,86
6021,Qingdao University of Science and Technology,Takming University of Science and Technology,91,82
7401,Qingdao University of Science and Technology,Chongqing University of Science and Technology,91,89
8013,Qingdao University of Science and Technology,China University of Science and Technology,93,88
8441,Qingdao University of Science and Technology,Xi'an University of Science and Technology,91,84
8564,ESG Management School,ESG Management School,100,100
7515,Chiba University,CHA University,93,93
9480,Chiba University,CHA University,93,93
9758,National Cheng Kung University,National Chung Cheng University,89,95
3409,University of Bolton,University of Luton,92,92
8582,Nanchang University,Chang'an University,84,95
5879,Western Business School,Stern Business School,95,95
9219,Ernst and Young,Ernst and Young,100,100
4102,University of South Carolina - Upstate,University of South Carolina - Sumter,91,79
1721,Institute for Engaged Business Research,Institute of Engaged Business Research,96,91
4873,Ss. Cyril and Methodius University,SS Cyril and Methodius University,99,100
1530,University of Paris Ouest Nanterre,Paris Ouest Nanterre University,62,95
175,Ernst and Young,Ernst and Young,100,100
814,Ernst and Young,Ernst and Young,100,100
1114,Ernst and Young,Ernst and Young,100,100
1269,Ernst and Young,Ernst and Young,100,100
9741,"International Institute for Management Development, Lausanne",International Institute for Management Development,91,92
1722,Jacksonville State University,Jackson State University,91,91
5302,Boston College,Boston College,100,100
5175,Faculty of Business and Economics,Faculty of Business and Economics,100,100
2211,Nord-Trøndelag University College,Nord-Trndelag University College,98,100
1522,Findwise AB,Findwise AB,100,100
2162,MIS,MIS,100,100
3322,MIS,MIS,100,100
4096,MIS,MIS,100,100
7889,MIS,MIS,100,100
9123,MIS,MIS,100,100
2161,German Graduate School of Management and Law,German Graduate School of Management and Law (GGS),94,96
4905,European University Viadrina,European University Viadrina,100,100
3073,Aston University,Babson University,91,91
9477,University of Arizona,Arizona University,51,92
677,PricewaterhouseCoopers LLP,PricewaterhouseCoopers,92,92
2015,PricewaterhouseCoopers LLP,PricewaterhouseCoopers,92,92
2980,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,100,100
573,East China University of Science and Technology,China University of Science and Technology,94,94
2010,East China University of Science and Technology,University of Science and Technology of Chi,80,91
2412,East China University of Science and Technology,Chien Hsin University of Science and Technology,89,91
1913,Dongyang Technical College,Dongyang Technical College,100,100
2560,Dongyang Technical College,Dongyang Technical College,100,100
239,University of Malaya,University of Malta,92,92
2447,University of Malaya,University of Malaysia,95,95
5295,Hebei University of Science and Technology,University of Science and Technology of Chi,85,92
