Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Southern University and AandM College,University Heights,47,51
Southern University and AandM College,4230 DJ Meerkerk,23,30
Southern University and AandM College,DaeWoo Electronics Corp.,30,33
Southern University and AandM College,China Construction Bank,33,40
Southern University and AandM College,Anhui Provincial Hospital,32,29
Southern University and AandM College,"Mayooth University, Co. Kildare",56,58
Southern University and AandM College,State Oceanic Administration China,37,39
Southern University and AandM College,The Congenital Heart Institute of Florida (CHIF),38,36
Southern University and AandM College,"Università degli Studi di Padova, Facoltà di Medicina e Chirurgia",39,44
Southern University and AandM College,"Centre universitaire de santé McGill, Hôpital de Montreal Pour Enfants",43,48
Southern University and AandM College,Children's HeartLink,28,35
Southern University and AandM College,University of Bambergxs,53,57
Southern University and AandM College,Southern Taiwan University of Science and Technology,67,63
Southern University and AandM College,Shenyang Aerospace University,45,61
Southern University and AandM College,Pra Ming Project,26,30
Southern University and AandM College,South Australian Research and Development Institute,45,43
Southern University and AandM College,Bureau of Traffic Services,29,35
Southern University and AandM College,Kunming Institute of Botany Chinese Academy of Sciences,41,48
Southern University and AandM College,University of Southern,47,71
Southern University and AandM College,Minnesota State University Mankato,56,56
Southern University and AandM College,Mercer University,48,56
Southern University and AandM College,MPR Teltech Ltd,23,23
Southern University and AandM College,Pro Dynamics Consultants Pte Ltd,32,32
Southern University and AandM College,Guangdong University of Science & Technology,52,58
Southern University and AandM College,Shiv Nadar University,48,59
Southern University and AandM College,NORWEGIAN AIR SHUTTLE ASA,35,39
Southern University and AandM College,Service and Operations,41,41
Southern University and AandM College,Sentrana Inc.,36,29
Southern University and AandM College,Software Engineering Institute,42,36
Southern University and AandM College,University of Derby,50,54
Southern University and AandM College,Rich Products Corporation,23,29
Southern University and AandM College,Penn State's Great Valley School of Graduate Professional Studies,31,37
Southern University and AandM College,Information and Decision Sciences,37,43
Southern University and AandM College,Center for Research in Electronic Commerce,38,35
Southern University and AandM College,Vermont Blueprint for Health,40,34
Southern University and AandM College,Onpoint Health Data,32,39
Southern University and AandM College,"Graz University of Technology, Institute of Software Technology",42,48
Southern University and AandM College,Lapin Yliopisto,23,31
Southern University and AandM College,INSEAD,19,14
Southern University and AandM College,Deutsche Leasing AG,43,43
Southern University and AandM College,Center for Creative Leadership,33,39
Southern University and AandM College,SEGi University,50,50
Southern University and AandM College,"ULVAC, Inc.",25,22
Southern University and AandM College,Debian Developer,30,34
Southern University and AandM College,Beiersdorf AG,36,32
Southern University and AandM College,Hubei University of Technology,57,51
Southern University and AandM College,Ulsan National Institute of Science and Technology,44,39
Southern University and AandM College,Accenture,22,26
Southern University and AandM College,OTE S.A.,27,32
Southern University and AandM College,Royal Holloway Management School,35,32
Southern University and AandM College,HAY Group Inc.,24,24
Southern University and AandM College,Faculty of Business,29,25
Southern University and AandM College,Polish-American Freedom Foundation,34,37
Southern University and AandM College,Universidade Eduardo Mondlane,52,48
Southern University and AandM College,Henley Business School,41,27
Southern University and AandM College,Cranfield School of Management Forum,33,36
Southern University and AandM College,Microsoft Deutschland GmbH,35,38
Southern University and AandM College,New York University Shanghai,52,52
Southern University and AandM College,Université de Picardie Jules Verne,51,46
Southern University and AandM College,"OPHIT Co., Ltd.",31,33
Southern University and AandM College,University of Washington School of Public Health and Community Medicine,43,44
Southern University and AandM College,"Health-e, LLC",24,24
Southern University and AandM College,Evans and Peck,39,35
Southern University and AandM College,Luoyang Tractor Institute Co. Ltd.,34,35
Southern University and AandM College,University of Texas at RGV,51,57
Southern University and AandM College,Sichuan College of Traditional Chinese Medicine,33,43
Southern University and AandM College,Horvàth and Partners Management Consultants,45,46
Southern University and AandM College,Kean University,50,50
Southern University and AandM College,Epworth HealthCare,29,25
Southern University and AandM College,Shinhan University,51,51
Southern University and AandM College,Centro de Investigación Y Docencias Económicas,36,40
Southern University and AandM College,Institute of Electronics Chinese Academy of Sciences,43,40
Southern University and AandM College,Evolution Consulting,35,32
Southern University and AandM College,Works For Federal Express,32,29
Southern University and AandM College,School of Information Technology,35,38
Southern University and AandM College,University of Pretoria,44,51
Southern University and AandM College,"TopWorx, Inc.",24,21
Southern University and AandM College,"Decision Support Technology, Inc.",34,32
Southern University and AandM College,Technische Universität Mülnchen,50,55
Southern University and AandM College,Eisenhower Army Medical Center,42,42
Southern University and AandM College,Nanjing Howso Technology,33,30
Southern University and AandM College,Food and the Marine,32,39
Southern University and AandM College,University of Jyviiskylii,42,45
Southern University and AandM College,Aalborg Unviersity,44,55
Southern University and AandM College,"BCI Engineers and Scientists, Inc.",39,46
Southern University and AandM College,Empirica GmbH,28,20
Southern University and AandM College,American Statistical Association,35,38
Southern University and AandM College,University of Liechtenstein,47,56
Southern University and AandM College,Lucas Engineering and Systems,42,42
Southern University and AandM College,Maidstone and Tunbridge Wells NHS Trust,37,47
Southern University and AandM College,Wenzao Ursuline University of Languages,55,47
Southern University and AandM College,Changsha Aeronautical Vocational and Technical College,51,48
Southern University and AandM College,China Meitan General Hospital,39,36
Southern University and AandM College,China Aerospace Science and Industry Corporation,40,40
Southern University and AandM College,UAB School of Public Health,25,28
Southern University and AandM College,Florida State University College of Medicine,54,54
Southern University and AandM College,Business Rules Management Technologies Team,42,38
Southern University and AandM College,IAE,15,10
Southern University and AandM College,Rawhide Inc.,24,25
Southern University and AandM College,Sharif University of Technology,59,53
Southern University and AandM College,Bremer Institut for Produktion und Logistik,38,35
Southern University and AandM College,University of Medicine and Pharmacy of Tîrgu Mureș,48,53
Southern University and AandM College,Instituto Superior de Engenharia do Porto,41,44
Southern University and AandM College,Augsburg College,42,34
Southern University and AandM College,Süleyman Demirel Üniversitesi,39,41
Southern University and AandM College,BIBA - Bremer Institut for Produktion und Logistik GmbH,33,33
Southern University and AandM College,Universite du Maine Le Mans - Laval,50,54
Southern University and AandM College,Katholieke Hogeschool Limburg,33,33
Southern University and AandM College,Vilniaus universitetas,41,31
Southern University and AandM College,Satakunnan ammattikorkeakoulu,33,30
Southern University and AandM College,University of the Aegan,50,67
Southern University and AandM College,Wegian University of Science and Technology,60,57
Southern University and AandM College,Hong Kong Intitute of Vocational Education,35,35
Southern University and AandM College,Laboratoire d'Informatique en Image et Systèmes d'Information,31,37
Southern University and AandM College,Uniwersytet Szczecinski,33,37
Southern University and AandM College,Institut National des Sciences Appliquées de Lyon,35,35
Southern University and AandM College,Technological University Dublin,50,53
Southern University and AandM College,Institute of Technology Carlow,30,30
Southern University and AandM College,Hellenic American Educational Foundation,39,42
Southern University and AandM College,Nord-Trndelag University College,67,67
Southern University and AandM College,Carol I National Defense University,42,53
Southern University and AandM College,Instituto Politcnico de Viseu,33,33
Southern University and AandM College,Makebelieve Design and Consulting,46,43
Southern University and AandM College,School of Fine Arts in Athens,36,33
Southern University and AandM College,"University of Information Science and Technology ""St. Paul The Apostle""-Ohrid",42,50
Southern University and AandM College,Volgograd State Technical University,41,47
Southern University and AandM College,Panepistimio Thesalias,27,34
Southern University and AandM College,Bauhaus-Universit t Weimar,44,44
Southern University and AandM College,R.C. Technical Institute,30,33
Southern University and AandM College,Future University - Hakodate,58,51
Southern University and AandM College,University of North Dakota,48,57
Southern University and AandM College,Interactive and Learning Technologies,51,43
Southern University and AandM College,Open University of the Natherlands,56,65
Southern University and AandM College,Open University of Cyprus,55,55
Southern University and AandM College,Camelot ITLab GmbH,29,33
Southern University and AandM College,Concordia College,48,44
Southern University and AandM College,Yau Lee Construction Company Limited,36,41
Southern University and AandM College,College of Technology and Innovation,33,49
Southern University and AandM College,Hinterhuber and Partners,46,46
Southern University and AandM College,Senacor Technologies AG,37,40
Southern University and AandM College,University of Missouri S and T,48,60
Southern University and AandM College,Robert H. Smith School of Business,34,34
Southern University and AandM College,Institut Quimic de Sarria,39,35
Southern University and AandM College,Buddle Findlay,27,27
Southern University and AandM College,Motivforce Marketing and Incentives,44,42
Southern University and AandM College,Vivendi Water Systems,31,31
Southern University and AandM College,ANTEVERTI CONSULTING SL,37,37
Southern University and AandM College,Barcelona City Council,34,34
Southern University and AandM College,Private Hospital of Medellin,37,34
Southern University and AandM College,US National Park Service,33,36
Southern University and AandM College,"IBM, Brasil",21,17
Southern University and AandM College,Burda Digital GmbH,33,22
Southern University and AandM College,Singapore Clinical Research Institute,32,35
Southern University and AandM College,International Institute for Socio-Informatics,34,37
Southern University and AandM College,Northwest Airlines,36,36
Southern University and AandM College,Golden Asset Management Consultant LTD,43,37
Southern University and AandM College,Brooke Army Medical Center,38,38
Southern University and AandM College,ETA SA Manufacture Horlogère Suisse,33,39
Southern University and AandM College,Sprott School of Business,32,35
Southern University and AandM College,Complex Prod. Sys. Innov. Cen.,36,41
Southern University and AandM College,Centre for Research and Innovation Management,39,39
Southern University and AandM College,PSK Inc.,22,18
Southern University and AandM College,University Continental Dynamics,47,47
Southern University and AandM College,Pharmaceutical University,42,58
Southern University and AandM College,Centre for Research-based Innovation,30,38
Southern University and AandM College,Universiät Regensburg,45,56
Southern University and AandM College,Technological Institute,30,27
Southern University and AandM College,Future Technology Laboratory,31,25
