Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
NMCI,Next Generation Vehicle Technology,11,16
NMCI,Trinity Health,22,22
NMCI,Clinical Quality and Patient Safety,15,15
NMCI,Saint Joseph Regional Medical Center South Bend,12,16
NMCI,Miami Children's Hospital,21,21
NMCI,Brigham Young University Hawaii,11,11
NMCI,USTC-CityU Joint Advanced Research Center,9,13
NMCI,Doowon Technical University,19,19
NMCI,Gangneung-Wonju University,13,13
NMCI,Shaanxi Company of Real Estate Service,14,14
NMCI,University of Richmond,15,15
NMCI,Viswa Shanti,25,25
NMCI,Guangzhou University of Traditional Chinese Medicine,14,14
NMCI,Perot Systems Corporation,21,14
NMCI,International University of Japan,11,11
NMCI,Mercer Management Consulting,25,19
NMCI,Henley Management College Greenlands,15,10
NMCI,Det Norske Veritas Pte Ltd,13,13
NMCI,Innsbruck University School of Management,13,18
NMCI,Institut für Informationsmanagement Bremen GmbH,12,12
NMCI,Universite Catholique de Lyon,18,12
NMCI,Silla University,20,20
NMCI,EMS Research,25,25
NMCI,Boston Consulting Group,22,22
NMCI,Newscron Ltd.,24,25
NMCI,University of Liverpool's,14,14
NMCI,Institute,31,31
NMCI,McKinsey and Co.,30,42
NMCI,Cranfeld University,17,17
NMCI,JNTG,25,25
NMCI,Product Strategy and User Research,11,11
NMCI,Towson University,19,19
NMCI,PrimeKey Solutions AB,16,16
NMCI,RedBridge AB,12,12
NMCI,Pro4u Open Source AB,17,17
NMCI,Faculty of Business and Public Management,9,13
NMCI,"Zapex Technologies, Inc",15,23
NMCI,Guangdong College of Pharmacy,18,18
NMCI,PICTURE GmbH,12,25
NMCI,Center for Digital Technology and Management,8,12
NMCI,Tianjin Entry-Exit Inspection and Quarantine Bureau,11,11
NMCI,Hubei Pangu Environmental Protection Engineering and Technology Co. Ltd.,11,11
NMCI,System Concepts,21,21
NMCI,Al Al-Bayt University,16,16
NMCI,East Normal University,23,23
NMCI,"HP Inc., Singapore",27,30
NMCI,Ministry of Culture,17,17
NMCI,Deakin University,19,19
NMCI,Northwest Normal University,19,19
NMCI,Ruppin Academic Center,23,23
NMCI,"National Institute of Education, Singapore",13,9
NMCI,Huaqiao University,18,18
NMCI,University of Northampton,14,21
NMCI,School of Business,18,18
NMCI,Hwangseongsoo Clinic,25,17
NMCI,University of Muünster,15,16
NMCI,The Bahá'í Institute for Higher Education (BIHE),12,9
NMCI,Verifone/Hewlett-Packard,14,14
NMCI,U.S. Army Research Office,21,14
NMCI,"Research Institute of Industrial Science & Technology, Pohang",9,10
NMCI,CSC Consulting and Systems Integration,14,14
NMCI,First Horizon National Corporation,16,11
NMCI,"National Heart, Lung, and Blood Institute",9,9
NMCI,Food and Drug Administration,19,12
NMCI,"National Institutes of Health, Bethesda",9,10
NMCI,Vertechs Software Solutions,13,13
NMCI,Codon Devices,24,24
NMCI,True Technology Partners Pty Ltd,6,11
NMCI,Fudan-Pacific Institute of Finance,16,16
NMCI,Research Inst,24,24
NMCI,Telemedicine Project,25,25
NMCI,Personalgenomes.org,17,17
NMCI,Gartner Group,12,12
NMCI,Southern Yangtze University,13,13
NMCI,RosettaNet,14,14
NMCI,Hull Business School,17,17
NMCI,CAMPUS 02 Fachhochschule der Wirtschaft GmbH,12,12
NMCI,West Chester University,15,15
NMCI,School Economics and Business Administration,17,12
NMCI,Otago School of Medical Sciences,17,17
NMCI,Mulligan Partners LLC,16,16
NMCI,Cyprus Association of Cancer Patients and Friends (PASYKAF),10,10
NMCI,NetU Consultants Ltd,17,8
NMCI,British Telecommunications plc,18,18
NMCI,NIT Surat,31,31
NMCI,Second Artillery Petty Officer School,10,5
NMCI,Jarvis Christian College,14,21
NMCI,Yaasuo Consulting Company,14,21
NMCI,Drobny Polymer Associates,28,14
NMCI,Japan Aerospace Exploration Agency,16,16
NMCI,ITMethods Inc.,22,35
NMCI,Administration Division,15,15
NMCI,UTPA,0,0
NMCI,Savannah River Ecology Laboratory,11,11
NMCI,Tisco GmbH,14,29
NMCI,Aachen Institute of Technology,12,12
NMCI,T.C. Beykent Üniversitesi,14,22
NMCI,Pfizer Global Research and Development,10,14
NMCI,"University of Edinburgh, Wellcome Trust Centre for Cell Biology",12,6
NMCI,Carnegie Institution of Washington,11,11
