Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Indiana University School of Medicine Indianapolis,European University Viadrina,49,36
Indiana University School of Medicine Indianapolis,German Graduate School of Management and Law (GGS),48,45
Indiana University School of Medicine Indianapolis,South Carelia Polytechnic,32,37
Indiana University School of Medicine Indianapolis,MIT-Zaragoza International Logistics Program,36,36
Indiana University School of Medicine Indianapolis,University of East Anglia,53,53
Indiana University School of Medicine Indianapolis,Kim Hag Dong Oriental Medical Clinic,42,44
Indiana University School of Medicine Indianapolis,Lehrst. fur Wirtschaftsinformatik,31,29
Indiana University School of Medicine Indianapolis,Saudi Arabian Monetary Agency,30,35
Indiana University School of Medicine Indianapolis,Caramba Labs Software Ag,30,27
Indiana University School of Medicine Indianapolis,University of,41,41
Indiana University School of Medicine Indianapolis,Webmergers.com,19,22
Indiana University School of Medicine Indianapolis,Jean Monnet Université,33,45
Indiana University School of Medicine Indianapolis,Strategic Design Management,31,36
Indiana University School of Medicine Indianapolis,German Archaeological Institute,37,32
Indiana University School of Medicine Indianapolis,Data Archiving and Networked Services,39,39
Indiana University School of Medicine Indianapolis,Inrap,18,15
Indiana University School of Medicine Indianapolis,TUI University,38,38
Indiana University School of Medicine Indianapolis,Sydney Business School,39,42
Indiana University School of Medicine Indianapolis,SETIS Ltd,17,20
Indiana University School of Medicine Indianapolis,Worcestershire Acute Hospitals NHS Trust,29,33
Indiana University School of Medicine Indianapolis,University of Detroit Mercy,47,55
Indiana University School of Medicine Indianapolis,University of Notre Dame Australia,52,55
Indiana University School of Medicine Indianapolis,Notre Dame Initiative for Global Development,36,40
Indiana University School of Medicine Indianapolis,Informing Science Institute,36,39
Indiana University School of Medicine Indianapolis,Chu Shang Show Chwan Hospital,33,30
Indiana University School of Medicine Indianapolis,Villa Maria Society,32,29
Indiana University School of Medicine Indianapolis,Ministry of Communication and Information Technology,45,45
Indiana University School of Medicine Indianapolis,Pioneer Hi Bred International Incorporated,39,39
Indiana University School of Medicine Indianapolis,Universität Frankrurt,37,34
Indiana University School of Medicine Indianapolis,State of Alabama,24,30
Indiana University School of Medicine Indianapolis,Jiangnan University,43,49
Indiana University School of Medicine Indianapolis,HCL,11,8
Indiana University School of Medicine Indianapolis,Independent Researcher,31,36
Indiana University School of Medicine Indianapolis,UL-Wiklund,17,20
Indiana University School of Medicine Indianapolis,Damai Sciences,34,34
Indiana University School of Medicine Indianapolis,Lingnan University,44,47
Indiana University School of Medicine Indianapolis,Glanbia plc,20,23
Indiana University School of Medicine Indianapolis,USAF Chief Information Office,35,38
Indiana University School of Medicine Indianapolis,CIO Office at Franke Management,32,37
Indiana University School of Medicine Indianapolis,Tektronix Incorporated,25,28
Indiana University School of Medicine Indianapolis,Berry Network,22,16
Indiana University School of Medicine Indianapolis,Monsanto Company,30,24
Indiana University School of Medicine Indianapolis,KPMG Australia,22,19
Indiana University School of Medicine Indianapolis,Eli Lilly and Company,28,34
Indiana University School of Medicine Indianapolis,Durable Hunke and Jochheim Gmbh and Co. KG,33,40
Indiana University School of Medicine Indianapolis,Saxion University,39,45
Indiana University School of Medicine Indianapolis,Memorial Sloan-Kettering Cancer Center,32,32
Indiana University School of Medicine Indianapolis,Queens University of Charlotte,48,48
Indiana University School of Medicine Indianapolis,Hospital of Central,38,26
Indiana University School of Medicine Indianapolis,Williams College,30,24
Indiana University School of Medicine Indianapolis,UNLM,15,11
Indiana University School of Medicine Indianapolis,NYSE Technologies,33,33
Indiana University School of Medicine Indianapolis,INRIA Rocquencourt,32,38
Indiana University School of Medicine Indianapolis,State University of Milan,53,51
Indiana University School of Medicine Indianapolis,A.B. Freeman School of Business,44,45
Indiana University School of Medicine Indianapolis,College of Industrial Management,34,37
Indiana University School of Medicine Indianapolis,Ecambria Systems GmbH,23,25
