Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Xiamen University,"Dr B. R. Ambedkar University, Agra",55,42
Xiamen University,University of Rzeszów,53,54
Xiamen University,Gannon University,76,59
Xiamen University,Plymouth State University,62,48
Xiamen University,Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence,18,19
Xiamen University,Cochin University of Science and Technology,43,33
Xiamen University,TEQIP,18,18
Xiamen University,Technische Universität Clausthal,49,38
Xiamen University,Aristotle University of Thessaloniki,49,38
Xiamen University,Androtics LLC,27,27
Xiamen University,Tokyo Metropolitan University,61,43
Xiamen University,Universidade Federal de Juiz de Fora,30,38
Xiamen University,Brno University of Technology,52,43
Xiamen University,Hannan University,76,59
Xiamen University,Vilinius University,72,72
Xiamen University,"Indian Institute of Science, Bangalore",33,33
Xiamen University,Universidad Nacional de Educacion a Distancia,29,29
Xiamen University,State Key Lab,33,33
Xiamen University,Technical University of Sofia,57,43
Xiamen University,Universidade do Algarve,40,50
Xiamen University,University of Michoacan,50,50
Xiamen University,Institute for Advanced Studies in Basic Sciences (IASBS,28,28
Xiamen University,Mälardalens högskola,27,29
Xiamen University,Indian Institute of Technology Banaras Hindu University,42,28
Xiamen University,Université Nice Sophia Antipolis,37,38
Xiamen University,Univerza v Mariboru,39,39
Xiamen University,University of Victoria,51,67
Xiamen University,Bauer College of Business,33,33
Xiamen University,"Compal Communications, Inc.",32,33
Xiamen University,Louisiana State University in Shreveport,49,35
Xiamen University,IK4-Ikerlan Technology Research Centre,29,29
Xiamen University,Universite Rennes 2 Haute Bretagne,35,39
Xiamen University,National Research Council Canada,29,29
Xiamen University,"Swiss Federal Institute of Technology EPFL, Lausanne",23,26
Xiamen University,Kathmandu Living Labs,37,26
Xiamen University,University of Lichtenstein,47,47
Xiamen University,TongMyong University,70,54
Xiamen University,BiZZdesign,30,37
Xiamen University,Dong-A University,71,59
Xiamen University,Högskolan i Halmstad,32,28
Xiamen University,Saginaw Valley State University,58,54
Xiamen University,Management Development Institute Gurgaon,35,39
Xiamen University,Politechnika Poznanska,31,31
Xiamen University,Ling Tung University,70,54
Xiamen University,Pegatron Corporation,27,27
Xiamen University,Eastern Michigan University,64,45
Xiamen University,Doctoral Candidate in Information Systems,31,31
Xiamen University,Paragon Decision Technology,36,32
Xiamen University,Indian Institute of Management Lucknow,29,36
Xiamen University,University of Texas Rio Grande Valley,37,48
Xiamen University,York University's Schulich School of Business,35,35
Xiamen University,Institut d'Administration des Entreprises de Paris,30,27
Xiamen University,307 Hospital of PLA,22,28
