Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
FZI Forschungszentrum Informatik,VTC School of Business and Information Systems,46,33
FZI Forschungszentrum Informatik,N.L.M.,11,16
FZI Forschungszentrum Informatik,NACSIS,16,16
FZI Forschungszentrum Informatik,Office of Research and Development,39,30
FZI Forschungszentrum Informatik,Open Text Corp,30,26
FZI Forschungszentrum Informatik,CLARITECH Corporation,34,34
FZI Forschungszentrum Informatik,Bentley University,28,28
FZI Forschungszentrum Informatik,Curtain University,32,32
FZI Forschungszentrum Informatik,The Global Training division,27,30
FZI Forschungszentrum Informatik,ESE,11,11
FZI Forschungszentrum Informatik,School of Business at Queen's University,33,28
FZI Forschungszentrum Informatik,Taibah University,33,29
FZI Forschungszentrum Informatik,Southern Denmark University,34,31
FZI Forschungszentrum Informatik,Taipei Municipal Bai-Ling Senior High School,32,29
FZI Forschungszentrum Informatik,Beijing Institute of Biotechnology,30,30
FZI Forschungszentrum Informatik,Bahrain Training Institute,34,31
FZI Forschungszentrum Informatik,National University Health System,28,28
FZI Forschungszentrum Informatik,Lotus Development GmbH,30,30
FZI Forschungszentrum Informatik,International University of Grand-Bassam,28,31
FZI Forschungszentrum Informatik,Georgia Gwinett College,25,33
FZI Forschungszentrum Informatik,BluSpecs,15,15
FZI Forschungszentrum Informatik,Draper Fisher Jurvetson,33,33
FZI Forschungszentrum Informatik,O'Reilly Media,26,26
FZI Forschungszentrum Informatik,Accel Partners,22,22
FZI Forschungszentrum Informatik,Khosla Ventures,30,30
FZI Forschungszentrum Informatik,Enlitic,26,26
FZI Forschungszentrum Informatik,DeepMind Technologies Limited,36,26
FZI Forschungszentrum Informatik,Techonomy Media,30,26
FZI Forschungszentrum Informatik,Fakultät für Informatik (118),49,56
FZI Forschungszentrum Informatik,Information Systems Dept,36,43
FZI Forschungszentrum Informatik,Keck Graduate Institute,33,33
FZI Forschungszentrum Informatik,Nottingham Business School,28,28
FZI Forschungszentrum Informatik,Alibaba Group,22,13
FZI Forschungszentrum Informatik,"La Salle University, Philadelphia",31,22
FZI Forschungszentrum Informatik,Coalition for Gun Control,39,32
FZI Forschungszentrum Informatik,Delta State University,30,26
FZI Forschungszentrum Informatik,State University,29,29
FZI Forschungszentrum Informatik,Industry Technology Mortgage Bankers Association of America,33,31
FZI Forschungszentrum Informatik,Family Practice Physician,32,35
FZI Forschungszentrum Informatik,Orange County Department of Education,41,38
FZI Forschungszentrum Informatik,Technical University of British Columbia,31,33
FZI Forschungszentrum Informatik,Principal Financial Group,25,32
FZI Forschungszentrum Informatik,Izmir Yüksek Teknoloji Enstitüsü,31,36
FZI Forschungszentrum Informatik,Nagaoka University of Technology,25,28
FZI Forschungszentrum Informatik,IMS Government Solutions,43,43
FZI Forschungszentrum Informatik,University of Notre Dame,32,36
FZI Forschungszentrum Informatik,Salisbury State University,31,28
FZI Forschungszentrum Informatik,Corporate Technical Webmaster,30,33
FZI Forschungszentrum Informatik,Ernst and Young Denmark,36,25
FZI Forschungszentrum Informatik,Comilla University,32,28
FZI Forschungszentrum Informatik,Airbus Group SE,30,26
FZI Forschungszentrum Informatik,Newcastle Business School,25,25
FZI Forschungszentrum Informatik,University of Texas School of Public Health,27,29
FZI Forschungszentrum Informatik,Dell EMC Global Business Services,25,28
FZI Forschungszentrum Informatik,Harz University of Applied Sciences,30,27
FZI Forschungszentrum Informatik,Sri Lanka Institute of Information Technology,42,34
FZI Forschungszentrum Informatik,"Institute of Computational Mathematics and Mathematical Geophysics, Siberian Branch of the Russian Academy of Sciences",23,27
FZI Forschungszentrum Informatik,EBS Business School,24,24
FZI Forschungszentrum Informatik,Univ. of NE17RU,30,39
FZI Forschungszentrum Informatik,Texas Tech University College of Business Lubbock 79409TX,27,25
FZI Forschungszentrum Informatik,Curtin University Sarawak,35,32
FZI Forschungszentrum Informatik,Officer of Marketing Sciences,36,30
FZI Forschungszentrum Informatik,U.S Army Communications and Electronics Research and Development Center (CERDEC),25,25
FZI Forschungszentrum Informatik,IBM Nederland,27,22
FZI Forschungszentrum Informatik,MIT IQ Program,30,26
FZI Forschungszentrum Informatik,"World Evolved Services, LLC",20,31
FZI Forschungszentrum Informatik,Korea District Heating Corp.,37,41
FZI Forschungszentrum Informatik,Islamia University,32,28
FZI Forschungszentrum Informatik,U.S. Department of Homeland Security,32,30
FZI Forschungszentrum Informatik,Università degli Studi di Firenze,34,38
FZI Forschungszentrum Informatik,Continental Airlines,35,31
FZI Forschungszentrum Informatik,"Lincoln University, New Zealand",29,26
