Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Teleplan AS,Soldier Design LLC,28,28
Teleplan AS,Egyptian Cabinet's Information and Decision Support Centre,20,23
Teleplan AS,Portland VA Medical Center,32,38
Teleplan AS,PricewaterhouseCoopers Consulting,27,27
Teleplan AS,Doctor on Demand,30,30
Teleplan AS,Amazon Environmental Research Institute,24,24
Teleplan AS,Rijkswaterstaat,31,31
Teleplan AS,Colle quebecois des medecins de famille,20,20
Teleplan AS,BTexact Technologies,32,39
Teleplan AS,Frankfurt Institute for Advanced Studies,24,20
Teleplan AS,Jiangxi University of Finance and EcoNomics,22,22
Teleplan AS,Mohawk College,16,24
Teleplan AS,Applied Neuroscience Research Institute,24,24
Teleplan AS,"University of Coimbra, Centre for Informatics and System",21,18
Teleplan AS,O & I Management Partners,33,35
Teleplan AS,SP Jain Center of Management,26,26
Teleplan AS,University of Nevada School of Medicine,20,16
Teleplan AS,OOCL,13,13
Teleplan AS,Lanner Group,35,35
Teleplan AS,FZI Research Center for Information Technology,21,21
Teleplan AS,PricewaterhouseCoopers LLP,27,27
Teleplan AS,Kyungil University,21,14
Teleplan AS,Gartner Group Pacific,31,31
Teleplan AS,Transport for London,26,26
Teleplan AS,National Kaohsiung Normal University,30,30
Teleplan AS,Manufacturing Guild Ltd.,17,24
Teleplan AS,Microsoft Online,22,30
Teleplan AS,"Pushkov Institute of Terrestrial Magnetism, Ionosphere and Radiowave Propagation, Russian Academy of Sciences",17,14
Teleplan AS,Ionospheric Institute,19,25
Teleplan AS,"Geophysical Institute, Prague",30,31
Teleplan AS,"Istituto Nazionale Di Geofisica E Vulcanologia, Rome",22,26
Teleplan AS,Space Research Center of the Polish Academy of Sciences,24,24
Teleplan AS,Saudi Arabian Oil Company,22,28
Teleplan AS,Rally Health,35,35
Teleplan AS,Rowan University,30,22
Teleplan AS,IULM University,23,15
Teleplan AS,University of Houston-Downtown,15,15
Teleplan AS,Learning Technology at Duke Corporate Education,28,28
Teleplan AS,Hang Seng Management College,21,26
Teleplan AS,"Google LLC, Africa & Middle East",33,30
Teleplan AS,Roffey Park Rehabilitation Centre,27,27
Teleplan AS,Atlantic Canada Conservation Data Centre,27,27
Teleplan AS,Pacific Northwest National Laboratory,25,29
Teleplan AS,Chung Chou Institute of Technology Taiwan,23,19
