Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
University of South Africa,Turku School of Economy,33,41
University of South Africa,Naval Underwater Systems Center,35,39
University of South Africa,Nordakademie,21,21
University of South Africa,Newcastle Business School,31,27
University of South Africa,Netherlands Institute for Scientific Information Services,39,39
University of South Africa,Information Systems Research Centre,36,33
University of South Africa,Goizueta Business School,28,28
University of South Africa,ESG UQAM,29,18
University of South Africa,JMIS,13,13
University of South Africa,Queens University of Charlotte,61,64
University of South Africa,Human Systems Limited,34,30
University of South Africa,Shih Chien University,43,64
University of South Africa,Vietnam National University Ho Chi Minh City,49,49
University of South Africa,Iwate University,48,67
University of South Africa,University of Rohde Island,73,73
University of South Africa,Curtis L. Carson School of Management,35,32
University of South Africa,Concordia University,43,61
University of South Africa,Wipro Technologies,32,32
University of South Africa,Thomas University,47,60
University of South Africa,Universidad de Murcia,60,51
University of South Africa,National Pintung Institute of Commerce,41,34
University of South Africa,IRCCS Fondazione C. Mondino,34,38
University of South Africa,Voluntary Health Insurance Board,38,38
University of South Africa,Universite Catholique de Louvain,55,55
University of South Africa,Ministry of the Environment,49,34
University of South Africa,Environment and Climate Change Canada,35,35
University of South Africa,Yarmouk University,45,45
University of South Africa,Stern Business School,30,34
University of South Africa,Microsoft Research Cambridge,44,41
University of South Africa,British Broadcasting Corporation,34,31
University of South Africa,Ain Shams University,43,70
University of South Africa,Washburn University,44,44
University of South Africa,"Escuela Técnica Superior de Ingenieros Informáticos, Universidad Politécnica de Madrid",30,39
University of South Africa,Innovative Management Partner (IMP),33,31
University of South Africa,Universidade Federal Rural de Pernambuco,45,48
University of South Africa,Université de Reims Champagne-Ardenne,48,55
University of South Africa,Universität Liechtenstein,51,56
University of South Africa,Xiamen Universtiy,42,42
University of South Africa,Schulich School of Business York University,35,58
University of South Africa,Indian Institute of Management Kashipur,40,34
University of South Africa,C-DAC School of Advanced Computing,30,30
University of South Africa,GGS Indraprastha University,38,64
University of South Africa,European Research Center for Information Systems,32,32
University of South Africa,Charité – Universitätsmedizin Berlin,42,52
University of South Africa,"DELTA Danish Electronics, Light & Acoustics",41,39
University of South Africa,North Mersey Health Informatics Service,40,43
University of South Africa,Hochschule München,23,28
University of South Africa,Tianjin Institute of Urban Construction,40,34
University of South Africa,"Mayo Clinic in Rochester, Minnesota",33,40
University of South Africa,UT Southwestern Medical School,43,50
University of South Africa,White Dog Enterprises,34,34
University of South Africa,Indiana University School of Dentistry,53,62
University of South Africa,"Morgan Stanley, USA",31,36
University of South Africa,Singapore Management University,35,56
University of South Africa,Écoles polytechniques fédérales,35,41
University of South Africa,"Centre Interuniversitaire de Recherche sur les Réseaux d‘Entreprise, la Logistique et le Transport",29,25
University of South Africa,Global Business Services,36,32
University of South Africa,Maximus Inc.,26,27
University of South Africa,Hague Consulting Group,38,33
University of South Africa,PricewaterhouseCoopers,29,42
University of South Africa,George Washington Uinversity,37,41
University of South Africa,Universidade Federal de Pernambuco,47,47
University of South Africa,MAN Truck and Bus AG,30,30
University of South Africa,FRANCISCAN MISSIONARIES OF OUR LADY UNIVERSITY,39,61
University of South Africa,Universiti Kuala Lumpur,53,57
University of South Africa,"Karlsruhe Institute of Technology, Campus North",38,33
University of South Africa,Technical University of Applied Sciences Wildau,49,55
University of South Africa,"Assumption University, Bangkok",43,58
University of South Africa,Texas A and M Health Science Center,30,33
University of South Africa,Thermal Industries Inc.,33,38
University of South Africa,"King Faisal University, Al-Asha",49,57
University of South Africa,Coll Education Texas A and M U,29,36
University of South Africa,F4energy Ltd.,31,26
University of South Africa,John O'Connell High School,27,27
University of South Africa,Far East Data Limited,30,38
University of South Africa,D.A.T.A. Corporation,26,36
University of South Africa,National Bureau of Economic Research,39,35
University of South Africa,City and County of San Francisco,48,38
University of South Africa,National Institute for Mathematical Sciences,40,34
University of South Africa,ICT Academy,32,32
University of South Africa,Centrum Wiskunde & Informatica,39,37
University of South Africa,World Organisation of Systems and Cybernetics,42,39
University of South Africa,Tmax Soft,29,29
University of South Africa,Sungkyul Christian University,36,62
University of South Africa,Shandong University of Technology,54,61
University of South Africa,ISS International Business School of Service Management,35,32
University of South Africa,Digital Insight,29,34
University of South Africa,Persistent Systems,36,32
University of South Africa,Snoop Consulting,33,33
University of South Africa,Data Security Systems Solutions Pte Ltd.,36,37
University of South Africa,Carmel Medical Center,21,30
University of South Africa,"Comshare, Inc",36,32
University of South Africa,Oakland State University,40,64
University of South Africa,Universitas Diponegoro,54,54
University of South Africa,Universities Space Research Association,52,52
University of South Africa,Institute of Public Administration,43,37
University of South Africa,Manifest Center for Social Analysis,43,39
University of South Africa,Universitäts-Hautklinik Frankfurt a. Main,51,55
University of South Africa,Children's Hospital At Westmead,35,35
University of South Africa,"Shanghai Tobacco Group Co., Ltd.",31,36
University of South Africa,CSIRO Ict Centre,33,33
University of South Africa,University of Luxembourg,68,60
University of South Africa,Faculty of Medicine,40,31
