Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Antra Inc.,Templeton College,22,15
Antra Inc.,UNITY AG,33,35
Antra Inc.,Shanghai International Studies University,31,28
Antra Inc.,Jinggangshan University,30,31
Antra Inc.,General Electric,46,32
Antra Inc.,"Versata, Inc",64,30
Antra Inc.,Center for Information Technology Renato Archer,25,29
Antra Inc.,ERPsim Lab,20,21
Antra Inc.,Kongkuk University,21,22
Antra Inc.,Università degli Studi di Palermo,19,24
Antra Inc.,Dutch Ministry of Security and Justice,29,30
Antra Inc.,Prnc. William Co. African-Amer. H.,27,31
Antra Inc.,Institut für Wirtschaftsinformatik,27,29
Antra Inc.,Dongguan University of Technology,23,24
Antra Inc.,Mongolian University of Science and Technology,25,25
Antra Inc.,National Chun Chen University,31,26
Antra Inc.,Workers Compensation Research Institute,29,25
Antra Inc.,University at Montgomery,29,36
Antra Inc.,Lukol Networks,25,26
Antra Inc.,Institute of Software Chinese Academy of Sciences,27,24
Antra Inc.,Pannasastra University of Cambodia,36,33
Antra Inc.,Fachhochschule Schmalkalden,16,17
Antra Inc.,Institute of Geographical Sciences and Natural Resources Research Chinese Academy of Sciences,17,18
Antra Inc.,Southampton Business School,32,22
Antra Inc.,College of Management,26,27
Antra Inc.,University of Delhi,28,21
Antra Inc.,University of the North Carolina,29,24
Antra Inc.,Communications Officer and Strategic Engagement at Li and Fung Ltd.,23,19
Antra Inc.,Li and Fung.,45,40
Antra Inc.,Dyax Corp.,40,22
Antra Inc.,DK Multimedia,17,18
Antra Inc.,"University of Hong Kong, School of Professional and Continuing Education",20,20
Antra Inc.,mcm Institute,26,36
Antra Inc.,Dexia Group,19,20
Antra Inc.,Social and Health Affairs department in the City of Lahti,27,27
Antra Inc.,Gartner Group Pacific,39,40
Antra Inc.,Telecom,24,25
Antra Inc.,Under the Guidance,43,37
Antra Inc.,Zeppelin Baumaschinen GmbH,22,29
Antra Inc.,Huawei Technologies Duesseldorf GmbH,17,18
Antra Inc.,Baragwanath Hospital,33,34
Antra Inc.,Shanghai First Maternity and Infant Health Hospital,26,23
Antra Inc.,Snitker and Co,50,35
Antra Inc.,Cornell University School of Hotel Administration,24,28
Antra Inc.,Trilogy Corp.,43,29
Antra Inc.,TEXAS EDUCATION AGENCY,38,32
Antra Inc.,Stevens Institute of Technology,24,25
Antra Inc.,University of Maine Business School,31,23
Antra Inc.,NEC Australia Pty Ltd,32,47
Antra Inc.,Orient. Logistics Group of Companies,22,27
Antra Inc.,Clinic of Radiotherapy and Oncology,31,27
Antra Inc.,University of Vienna Institute of Anatomy,24,28
Antra Inc.,NL-7300 AS,20,32
Antra Inc.,Kangnam University,36,37
Antra Inc.,University of Waika,28,29
Antra Inc.,Shri Shakaracharya Institute of Technology and Management,21,24
Antra Inc.,University of Zaragoza,25,26
Antra Inc.,ALBA Graduate Business School,36,32
Antra Inc.,Zhejiang Academy of Surveying and Mapping,27,24
Antra Inc.,VitalHealth Software,20,28
Antra Inc.,Groupe Hospitalier Sainte-Périne,29,25
Antra Inc.,AP-HP Assistance Publique - Hopitaux de Paris,22,23
Antra Inc.,Hopital Sebastopol,21,22
Antra Inc.,Leyland Pitt is Professor of Management Studies at Henley Management College Henley-on-ThamesRG9 3AUUK,16,11
Antra Inc.,Sunchon National University,27,33
Antra Inc.,Korea Institute for International Economic Policy,27,24
Antra Inc.,DEKRA Automobil GmbH,27,34
Antra Inc.,Stratica Limited,38,40
Antra Inc.,Siemens Industry Software GmbH,25,31
Antra Inc.,AVASO GmbH,30,32
Antra Inc.,Advanis Inc.,64,60
Antra Inc.,National Research Center for Audiology and Hearing Rehabilitation,21,24
Antra Inc.,Heritage Institute of Technology,29,29
Antra Inc.,The Bayswater Institute,36,38
Antra Inc.,Essent,25,27
Antra Inc.,Groupvision,29,30
