Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Consejo Superior de Investigaciones Cient&iacute;ficas,Universidade Federal de Santa Catarina,41,43
Consejo Superior de Investigaciones Cient&iacute;ficas,MRC Health Services Research Collaboration,38,40
Consejo Superior de Investigaciones Cient&iacute;ficas,"YOUAI Co., Ltd.",23,24
Consejo Superior de Investigaciones Cient&iacute;ficas,Partners HealthCare,33,27
Consejo Superior de Investigaciones Cient&iacute;ficas,Interlace Corporation,29,32
Consejo Superior de Investigaciones Cient&iacute;ficas,Behrend College,23,23
Consejo Superior de Investigaciones Cient&iacute;ficas,First Consulting,31,34
Consejo Superior de Investigaciones Cient&iacute;ficas,Researcher at the Woolwich Centre for Computer Crime Research,37,42
Consejo Superior de Investigaciones Cient&iacute;ficas,Accountancy and Director of the Woolwich Centre for Computer Crime Research,36,37
Consejo Superior de Investigaciones Cient&iacute;ficas,Federal University of Technology,33,35
Consejo Superior de Investigaciones Cient&iacute;ficas,"Saavn, LLC",16,22
Consejo Superior de Investigaciones Cient&iacute;ficas,AT and T Research Bin Wei,30,38
Consejo Superior de Investigaciones Cient&iacute;ficas,Research Institute of Petroleum Exploration and Development,37,39
Consejo Superior de Investigaciones Cient&iacute;ficas,German Council of Science and Humanities,38,38
Consejo Superior de Investigaciones Cient&iacute;ficas,Marketing Research Manager,30,30
Consejo Superior de Investigaciones Cient&iacute;ficas,Client Service Director,39,42
Consejo Superior de Investigaciones Cient&iacute;ficas,CEO,11,11
Consejo Superior de Investigaciones Cient&iacute;ficas,New York Life Insurance,39,36
Consejo Superior de Investigaciones Cient&iacute;ficas,Colorado State University,38,38
Consejo Superior de Investigaciones Cient&iacute;ficas,Suzhou Psychiatric Hospital,32,35
Consejo Superior de Investigaciones Cient&iacute;ficas,Organisation Mondiale de la Santé,34,40
Consejo Superior de Investigaciones Cient&iacute;ficas,North China University of Water Resources and Electronic Power,38,41
Consejo Superior de Investigaciones Cient&iacute;ficas,VP Business Development,31,31
Consejo Superior de Investigaciones Cient&iacute;ficas,East China University of Political Science and Law,40,46
Consejo Superior de Investigaciones Cient&iacute;ficas,University of Phoenix,29,29
Consejo Superior de Investigaciones Cient&iacute;ficas,Northwest Arkansas Community College,33,33
Consejo Superior de Investigaciones Cient&iacute;ficas,"National University, San Diego",33,39
Consejo Superior de Investigaciones Cient&iacute;ficas,DataServ LLC,18,21
Consejo Superior de Investigaciones Cient&iacute;ficas,Dell SecureWorks,26,29
Consejo Superior de Investigaciones Cient&iacute;ficas,American Economics Institutions Faculty,43,54
Consejo Superior de Investigaciones Cient&iacute;ficas,Chengdu University of Information Technology,39,37
Consejo Superior de Investigaciones Cient&iacute;ficas,Southwest University of Political Science and Law,41,41
Consejo Superior de Investigaciones Cient&iacute;ficas,Swiss Federal Institute of Aquatic Science and Technology,40,41
Consejo Superior de Investigaciones Cient&iacute;ficas,C-DAC,14,17
Consejo Superior de Investigaciones Cient&iacute;ficas,Columbia Asia Hospital,34,32
Consejo Superior de Investigaciones Cient&iacute;ficas,Midland Hospital,23,23
Consejo Superior de Investigaciones Cient&iacute;ficas,Nestle Nutrition,31,34
Consejo Superior de Investigaciones Cient&iacute;ficas,Medical and Scientific Affairs,40,36
Consejo Superior de Investigaciones Cient&iacute;ficas,Consulting + Software AG,36,37
Consejo Superior de Investigaciones Cient&iacute;ficas,Daegu Gyeongbuk Institute of Science and Technology,38,40
Consejo Superior de Investigaciones Cient&iacute;ficas,Loyola University,28,28
Consejo Superior de Investigaciones Cient&iacute;ficas,ELearn Magazine,26,29
Consejo Superior de Investigaciones Cient&iacute;ficas,"Co., Ltd",13,13
Consejo Superior de Investigaciones Cient&iacute;ficas,Design Department,31,31
Consejo Superior de Investigaciones Cient&iacute;ficas,Sungshin University,30,30
Consejo Superior de Investigaciones Cient&iacute;ficas,CERSYRA,16,13
Consejo Superior de Investigaciones Cient&iacute;ficas,"Dublin City Council, Ireland",32,37
Consejo Superior de Investigaciones Cient&iacute;ficas,Infosys Limited,26,29
Consejo Superior de Investigaciones Cient&iacute;ficas,Marketing Intern with Rich Products Corporation,34,36
Consejo Superior de Investigaciones Cient&iacute;ficas,Shanxi Precision Metal Group,37,34
Consejo Superior de Investigaciones Cient&iacute;ficas,Innovation Management Consulting,35,37
Consejo Superior de Investigaciones Cient&iacute;ficas,Hyosung Group,21,18
Consejo Superior de Investigaciones Cient&iacute;ficas,Otto Beisheim Graduate School of Management,37,35
Consejo Superior de Investigaciones Cient&iacute;ficas,AgResearch Ruakura Research Centre,36,36
Consejo Superior de Investigaciones Cient&iacute;ficas,Sheridan College Institute of Technology and Advanced Learning,34,45
Consejo Superior de Investigaciones Cient&iacute;ficas,DemandTec Inc.,26,27
Consejo Superior de Investigaciones Cient&iacute;ficas,Henley Management College and Brunel University,32,36
Consejo Superior de Investigaciones Cient&iacute;ficas,Business Consulting,33,33
Consejo Superior de Investigaciones Cient&iacute;ficas,Singapore Mgmt. U. / Dartmouth College,28,39
Consejo Superior de Investigaciones Cient&iacute;ficas,Camerloher-Gymnasium Freising,31,34
Consejo Superior de Investigaciones Cient&iacute;ficas,Wuhan Institute of Virology Chinese Academy of Sciences,42,44
Consejo Superior de Investigaciones Cient&iacute;ficas,InfoMedia GmbH,21,21
Consejo Superior de Investigaciones Cient&iacute;ficas,Hong Kong Council of Social Service,36,38
Consejo Superior de Investigaciones Cient&iacute;ficas,Oracle Nederland BV,25,27
Consejo Superior de Investigaciones Cient&iacute;ficas,"Siemens Ltd, China",31,34
Consejo Superior de Investigaciones Cient&iacute;ficas,University of North,27,33
Consejo Superior de Investigaciones Cient&iacute;ficas,Hong Kong Technical College,32,30
Consejo Superior de Investigaciones Cient&iacute;ficas,International Management Consultants,38,38
Consejo Superior de Investigaciones Cient&iacute;ficas,Institute of Management Technology,34,34
Consejo Superior de Investigaciones Cient&iacute;ficas,Instituto Politécnico Nacional,40,41
Consejo Superior de Investigaciones Cient&iacute;ficas,Daeduk College,21,24
Consejo Superior de Investigaciones Cient&iacute;ficas,Institute of Design Optimization Co.,42,43
Consejo Superior de Investigaciones Cient&iacute;ficas,Technische Universitï¿½t Mï¿½nchen,34,39
Consejo Superior de Investigaciones Cient&iacute;ficas,Louisianna Tech University,32,32
Consejo Superior de Investigaciones Cient&iacute;ficas,"Facebook, Inc.",24,24
Consejo Superior de Investigaciones Cient&iacute;ficas,Asia-Pacific Institute of Creativity,36,38
Consejo Superior de Investigaciones Cient&iacute;ficas,Bangladesh University of Engineering and Technology,40,38
Consejo Superior de Investigaciones Cient&iacute;ficas,NCR/AT and T Corporation,28,33
Consejo Superior de Investigaciones Cient&iacute;ficas,Daqing Petroleum Institute,42,38
Consejo Superior de Investigaciones Cient&iacute;ficas,Daqing Petroleum Administrative Bureau,41,37
Consejo Superior de Investigaciones Cient&iacute;ficas,Open Polytechnic of New Zealand,38,31
Consejo Superior de Investigaciones Cient&iacute;ficas,Ingersoll-Rand Company,26,29
Consejo Superior de Investigaciones Cient&iacute;ficas,University of Malaysia,29,29
Consejo Superior de Investigaciones Cient&iacute;ficas,Epidemiological Unit,32,30
Consejo Superior de Investigaciones Cient&iacute;ficas,Shamoon College of Engineering,33,36
Consejo Superior de Investigaciones Cient&iacute;ficas,American Health Information Management Association (AHIMA),38,38
Consejo Superior de Investigaciones Cient&iacute;ficas,David R. Cheriton School of Computer Science,37,39
Consejo Superior de Investigaciones Cient&iacute;ficas,Chen Chi University,30,36
Consejo Superior de Investigaciones Cient&iacute;ficas,Jiangxi Province Patent Office,38,40
Consejo Superior de Investigaciones Cient&iacute;ficas,BBN Technologies,26,26
Consejo Superior de Investigaciones Cient&iacute;ficas,Harvey Mudd College,25,27
Consejo Superior de Investigaciones Cient&iacute;ficas,PricewaterhouseCoopers Center for Advanced Research,38,42
Consejo Superior de Investigaciones Cient&iacute;ficas,Southern New Hampshire University,37,37
Consejo Superior de Investigaciones Cient&iacute;ficas,"Applied Reactivity, Inc.",31,34
Consejo Superior de Investigaciones Cient&iacute;ficas,Academy of Arts and Sciences,39,39
Consejo Superior de Investigaciones Cient&iacute;ficas,"Cajana, Inc",25,25
Consejo Superior de Investigaciones Cient&iacute;ficas,Southern Medical University,35,37
Consejo Superior de Investigaciones Cient&iacute;ficas,Zhujiang Hospital,25,25
