Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
National Institute of Mental Health,Jiangsu Provincial People's Hospital,39,48
National Institute of Mental Health,Institute of System Science,55,45
National Institute of Mental Health,UNSW and Enterprise Analysts Pty. Ltd,42,37
National Institute of Mental Health,International Trade Centre,52,52
National Institute of Mental Health,Universidade de Aveiro,32,28
National Institute of Mental Health,Hanyang University,30,26
National Institute of Mental Health,National University of Singapore Business School,53,36
National Institute of Mental Health,Singapore Polytechnic,32,36
National Institute of Mental Health,"Ministry of Water Resources, P.R. China",35,33
National Institute of Mental Health,Netrii.com,27,22
National Institute of Mental Health,Thomson Reuters,32,32
National Institute of Mental Health,Dan McCreary and Associates,29,32
National Institute of Mental Health,Royal Berkshire NHS Foundation Trust,37,39
National Institute of Mental Health,Eagle Technology,27,39
National Institute of Mental Health,Universitatea Tehnica Gh. Asachi din IasI,39,43
National Institute of Mental Health,Seneca College of Applied Arts & Technology,38,37
National Institute of Mental Health,Computer Sciences Corporation in Deutschland,35,33
National Institute of Mental Health,Mount Saint Mary College,37,34
National Institute of Mental Health,Computing Trends,27,24
National Institute of Mental Health,Huaiyin Institute of Technology,61,55
National Institute of Mental Health,"Huai An Shi Su Tong Shi Zheng Ji Xie Co.,Ltd.",40,36
National Institute of Mental Health,"Huai An Bin Hu Ji Xie Co.,Ltd.",40,35
National Institute of Mental Health,"Huaian Tiangong Transmission Technical Co., Ltd.",43,42
National Institute of Mental Health,University North Texas,39,32
National Institute of Mental Health,Shenyang Meteorological Bureau,37,40
National Institute of Mental Health,SMR Automotive Mirrors Stuttgart GmbH,36,33
National Institute of Mental Health,The ICT University,30,26
National Institute of Mental Health,University Teaching Hospital of Kigali (CHUK),40,36
National Institute of Mental Health,Texas Telehealth Technologies,38,38
National Institute of Mental Health,Muhimbili University of Health and Allied Sciences,40,35
National Institute of Mental Health,African Organization for Research and Training in Cancer,35,33
National Institute of Mental Health,Health First,26,34
National Institute of Mental Health,Weill Cornell Medical College,38,38
National Institute of Mental Health,"International Atomic Energy Agency, Vienna",47,47
National Institute of Mental Health,Kibagabaga Hospital,30,33
National Institute of Mental Health,African Renaissance Ambassador Corporation,34,34
National Institute of Mental Health,Advance Bank AG,32,32
National Institute of Mental Health,Southern Alberta Institute of Technology,56,56
National Institute of Mental Health,Information and Communication Technology University,44,35
National Institute of Mental Health,Shaw Regional Cancer Center,45,45
National Institute of Mental Health,American Association of Physicists in Medicine,40,35
National Institute of Mental Health,Purdue University Center for Cancer Research,38,30
National Institute of Mental Health,Lowell General Hospital,38,41
National Institute of Mental Health,Brigham and Women's Hospital,41,35
National Institute of Mental Health,Industrial Research and Development,40,40
National Institute of Mental Health,Australian Bureau of Statistics,45,33
National Institute of Mental Health,Al-Ahliyya Amman University,32,32
National Institute of Mental Health,The Norwegian Open Source Competence Center,41,38
National Institute of Mental Health,Swedish National Police,41,34
National Institute of Mental Health,York University,24,24
National Institute of Mental Health,Bank of Greece,33,29
National Institute of Mental Health,Panasonic Corporation,32,36
National Institute of Mental Health,Sumitomo Marine Research Institute Inc.,43,49
National Institute of Mental Health,"Latco, Inc.",26,32
National Institute of Mental Health,Maryville University,29,25
National Institute of Mental Health,Open University Business School,36,30
National Institute of Mental Health,International Monetary Fund,45,48
National Institute of Mental Health,Valdosta State University,40,40
National Institute of Mental Health,University of Mysore,40,22
National Institute of Mental Health,International Institute of Information Technology Bangalore,62,57
National Institute of Mental Health,Bureau of Labor Statistics,33,33
National Institute of Mental Health,NYS Off. Cyber Secty./Critical I,33,34
National Institute of Mental Health,SUNY Buffalo State College,39,30
National Institute of Mental Health,University of Bamberg,39,21
National Institute of Mental Health,IQser AG,23,23
National Institute of Mental Health,University of Hawai'i,39,29
National Institute of Mental Health,New York Institute of Technology,57,51
National Institute of Mental Health,Key Research Institute of Humanities and Social Sciences at Universities,45,41
National Institute of Mental Health,China Shenhua Coal to Liquid and Chemical Co. Ltd.,40,41
National Institute of Mental Health,Xi’an Telenavsoftware Inc,33,40
National Institute of Mental Health,Iksan National College,42,49
National Institute of Mental Health,Tohoku University,27,27
National Institute of Mental Health,Fraunhofer Institute for Systems and Innovation Research ISI,46,40
National Institute of Mental Health,Yingtian College,35,31
National Institute of Mental Health,Laboratory of Toxicology College of Veterinary Medicine,36,33
National Institute of Mental Health,Gartner Deutschland GmbH,34,31
National Institute of Mental Health,Uniwersytet Opolski,30,26
National Institute of Mental Health,Max Planck Institut für Gesellschaftsforschung,49,48
National Institute of Mental Health,Ghana Football Association,36,39
National Institute of Mental Health,Ulleval University Hospital,39,35
National Institute of Mental Health,Florida Southern College,37,27
National Institute of Mental Health,Honda Atlantic University,37,37
National Institute of Mental Health,Chuzhou University,23,26
National Institute of Mental Health,Coimbatore Institute of Technology,58,52
National Institute of Mental Health,Canadian Imperial Bank of Commerce World Markets,43,39
National Institute of Mental Health,Group Management Services,33,30
National Institute of Mental Health,Doowon Technical University College,40,31
National Institute of Mental Health,Guangzhou Li Zhi Network Technology Ltd,41,35
National Institute of Mental Health,University of South Florida’s (USF),34,29
National Institute of Mental Health,Ngee Ann Polytechnic,33,29
National Institute of Mental Health,Kyung Hee Cyber University,26,26
National Institute of Mental Health,School of Electrical Engineering and Computer Science,34,39
National Institute of Mental Health,State College,33,25
National Institute of Mental Health,Nanyang Polytechnic,37,26
National Institute of Mental Health,Northeast Forestry University,38,31
National Institute of Mental Health,"Bear, Stearns & Co. Inc",31,37
National Institute of Mental Health,Goddard Associates,26,30
National Institute of Mental Health,MasterCard Inc. O'Fallon,41,41
National Institute of Mental Health,Carolina A and T State University,41,38
National Institute of Mental Health,Fundacao Dom Cabral,33,33
National Institute of Mental Health,Grad. Sch. Bus. A.,23,24
National Institute of Mental Health,Blue Cross Blue Shield of Minnesota,40,37
National Institute of Mental Health,"University of Minnesota Medical Center, Fairview",43,44
National Institute of Mental Health,Capgcmini LLC,29,29
National Institute of Mental Health,Arieste Oy,31,31
National Institute of Mental Health,Institute of Biology Leiden,52,58
