Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Boston University,Universidade Atlântica,46,58
Boston University,Olm Systems,36,36
Boston University,German University of Administrative Sciences Speyer,35,44
Boston University,BiZZdesign,37,37
Boston University,University of Applied Sciences of Zwickau,34,48
Boston University,Arizona Department of Health Services,26,26
Boston University,Weifang University,69,57
Boston University,Universidad de La Habana,39,54
Boston University,Shaanxi University of Technology,53,61
Boston University,Open Text,38,38
Boston University,School of Management,32,22
Boston University,"Cook Systems International, Inc.",33,38
Boston University,"Jaguar Land Rover, UK",26,27
Boston University,IT Institute,41,41
Boston University,NYC,20,20
Boston University,Uniwersytet im. Adama Mickiewicza w Poznaniu,23,33
Boston University,Sydney Children's Hospital,37,33
Boston University,Federal Ministry of Health Nigeria,35,31
Boston University,Nigeria's National Primary Health Care Development Agency (NPHCDA),24,27
Boston University,WHO,10,10
Boston University,UNICEF,35,35
Boston University,CORE Group Partners Project,36,36
Boston University,Center for Substance Abuse Treatment,34,38
Boston University,Symbiosis Institute of Operations Management,33,26
Boston University,Villa Maria Society,33,33
Boston University,Kenyatta University,67,67
Boston University,University of Venda for Science and Technology,35,48
Boston University,University of Nairobi,53,68
Boston University,Insight Centre for Data Analytics,32,32
Boston University,HP European Innovation Center,35,30
Boston University,Softeco Sismat SpA,40,29
Boston University,Innovation Lab. Comverse,44,35
Boston University,Shanghai Software Center,29,29
Boston University,Palmetto Health Richland,29,24
Boston University,"Arab Academy for Banking and Financial Sciences, Jordan",22,23
Boston University,Adler Planetarium,29,29
Boston University,Baxter Healthcare Corporation,26,35
Boston University,Royal Tropical Institute - KIT,38,31
Boston University,Faculty of Economics and Business Administration,31,37
Boston University,Jimei University,67,67
Boston University,University of Sydney Faculty of Health Sciences,31,44
Boston University,ACT Health,30,30
Boston University,Canberra Hospital,35,35
Boston University,Faculty of Engineering,41,36
Boston University,NERA Economic Consulting,29,44
Boston University,Amsterdam Business School,33,33
Boston University,Shanghai Institute of Planned Parenthood Research,24,30
Boston University,University of International Business and Economy,31,49
Boston University,ESAN,19,19
Boston University,Cape Breton University,77,77
Boston University,Shanghai BizEngine Consulting Co,33,33
Boston University,Southwestern University of Finance,59,59
Boston University,Ningbo City College,33,28
Boston University,Ivey School,29,29
Boston University,Center for Research on Information Technology and Organizations (CRITO),27,26
Boston University,Mittuniversitetet,59,59
Boston University,MYcroarray,22,22
Boston University,Wilson Learning Corporation,36,36
