Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Purdue University,Korean Minjok Leadership Academy,37,33
Purdue University,Duequesne University,76,76
Purdue University,U.S. Senate,29,22
Purdue University,Dipartimento di CommStrategy,36,31
Purdue University,Move Management,31,25
Purdue University,Economics at ETH Zurich,30,30
Purdue University,Forschungszentrum für Informationstechnik-Gestaltung (ITeG),26,30
Purdue University,Project Group Business and Information Systems Engineering of Fraunhofer FIT,24,24
Purdue University,Robichaud Conseil and CIRANO,31,27
Purdue University,"Motorola Inc., UK",18,19
Purdue University,"ING Group, Netherlands",36,37
Purdue University,Formal Systems (Europe) Ltd.,27,33
Purdue University,DHBW,10,10
Purdue University,Singapore University of Social Sciences,50,50
Purdue University,ESSCA Business School,32,26
Purdue University,"Southern Company, Atlanta",24,24
Purdue University,Joint Research Center of the European Commission,25,25
Purdue University,The Glasgow School of Art,19,19
Purdue University,Historic England,18,30
Purdue University,Ariel University,79,79
Purdue University,Hochschule Heilbronn,27,22
Purdue University,Origin Nederland B.V.,26,27
Purdue University,USTC-City U Joint Research Center,28,28
Purdue University,Hong Kong Baptist Hospital,28,28
Purdue University,Concordia University,70,70
Purdue University,William Paterson University,59,59
Purdue University,Local Government Management Agency,27,24
Purdue University,Lambeth Walk Group Practice,23,27
Purdue University,Wells Park Practice,28,33
Purdue University,Zhanjiang Normal College,15,24
Purdue University,College of Business,33,22
Purdue University,"Barclays, United States",40,36
Purdue University,Merrill Lynch,27,27
Purdue University,Banco Sabadell,13,13
Purdue University,IBM,10,10
Purdue University,Computer Technology Institute,39,39
Purdue University,Visiting Professor of MIS,29,38
Purdue University,Deutsche Bundeswehr,44,33
Purdue University,University of Western Macedonia,42,50
Purdue University,National Observatory of Athens,26,34
Purdue University,Radio Observatorio de Jicamarca Lima,26,26
Purdue University,"Parsons Brinckerhoff Quade and Douglas, Inc.",26,24
Purdue University,Henan University,73,73
Purdue University,"Smith Barney, Inc",24,42
Purdue University,SimCorp A/S,21,21
Purdue University,Gyeonggi Tourism Organization,30,26
Purdue University,Mauá Institute of Technology,31,27
Purdue University,Data Communications Corp. of Korea,24,20
Purdue University,GE Ultrasound,33,33
Purdue University,Ministry of Defence,28,44
Purdue University,"Maanpuolustuskorkeakoulu, Finland",24,20
Purdue University,Bureau of Sport Fisheries and Wildlife,33,33
Purdue University,Skolkovo Institute of Science and Technology,26,30
Purdue University,France Télécom Division Recherche et Développement,24,22
Purdue University,Land Warfare Centre,28,28
Purdue University,WHO Country Office,29,29
Purdue University,Ministry of Health,29,40
